Date,Country,Cases,Deaths
3/17/2003,Germany,1,0
3/17/2003,Canada,8,
3/17/2003,Singapore,20,0
3/17/2003,Hong Kong,95,1
3/17/2003,Switzerland,2,0
3/17/2003,Thailand,1,0
3/17/2003,Viet Nam,40,1
3/17/2003,Total,167,4
3/18/2003,Germany,2,0
3/18/2003,Canada,8,2
3/18/2003,China,0,0
3/18/2003,Singapore,23,0
3/18/2003,Hong Kong,123,1
3/18/2003,Taiwan,3,0
3/18/2003,Thailand,1,0
3/18/2003,Viet Nam,57,1
3/18/2003,Slovenia,1,0
3/18/2003,United Kingdom,1,0
3/18/2003,Total,219,4
3/19/2003,Canada,8,2
3/19/2003,China,0,0
3/19/2003,Germany,1,0
3/19/2003,Hong Kong,150,5
3/19/2003,Singapore,31,0
3/19/2003,Slovenia,1,0
3/19/2003,Spain,1,0
3/19/2003,Taiwan,3,0
3/19/2003,Thailand,1,0
3/19/2003,United Kingdom,1,0
3/19/2003,United States,11,0
3/19/2003,Viet Nam,56,2
3/19/2003,Total,264,9
3/20/2003,Canada,9,2
3/20/2003,China,0,0
3/20/2003,Germany,1,0
3/20/2003,Hong Kong,173,6
3/20/2003,Singapore,34,0
3/20/2003,Slovenia,1,0
3/20/2003,Spain,1,0
3/20/2003,Switzerland,7,0
3/20/2003,Taiwan,4,0
3/20/2003,Thailand,1,0
3/20/2003,United Kingdom,2,0
3/20/2003,United States,11,0
3/20/2003,Viet Nam,62,2
3/20/2003,Total,306,10
3/21/2003,Canada,9,2
3/21/2003,China,0,0
3/21/2003,Germany,1,0
3/21/2003,Hong Kong,203,6
3/21/2003,Italy,1,0
3/21/2003,Republic of Ireland,1,0
3/21/2003,Singapore,39,0
3/21/2003,Slovenia,1,0
3/21/2003,Spain,1,0
3/21/2003,Switzerland,7,0
3/21/2003,Taiwan,6,0
3/21/2003,Thailand,4,0
3/21/2003,United Kingdom,2,0
3/21/2003,United States,13,0
3/21/2003,Viet Nam,62,2
3/21/2003,Total,350,10
3/22/2003,Canada,9,2
3/22/2003,China,0,0
3/22/2003,Germany,2,0
3/22/2003,Hong Kong,222,7
3/22/2003,Italy,2,0
3/22/2003,Republic of Ireland,1,0
3/22/2003,Singapore,44,0
3/22/2003,Slovenia,1,0
3/22/2003,Spain,1,0
3/22/2003,Switzerland,7,0
3/22/2003,Taiwan,6,0
3/22/2003,Thailand,4,0
3/22/2003,United Kingdom,2,0
3/22/2003,United States,22,0
3/22/2003,Viet Nam,63,2
3/22/2003,Total,386,11
3/24/2003,Canada,11,3
3/24/2003,China,0,0
3/24/2003,France,1,0
3/24/2003,Germany,4,0
3/24/2003,Hong Kong,260,10
3/24/2003,Italy,2,0
3/24/2003,Republic of Ireland,1,0
3/24/2003,Singapore,65,0
3/24/2003,Spain,1,0
3/24/2003,Switzerland,2,0
3/24/2003,Taiwan,6,0
3/24/2003,Thailand,5,0
3/24/2003,United Kingdom,3,0
3/24/2003,United States,37,0
3/24/2003,Viet Nam,58,4
3/24/2003,Total,456,17
3/25/2003,Canada,11,3
3/25/2003,China,0,0
3/25/2003,France,1,0
3/25/2003,Germany,4,0
3/25/2003,Hong Kong,286,10
3/25/2003,Italy,2,0
3/25/2003,Republic of Ireland,1,0
3/25/2003,Singapore,69,0
3/25/2003,Switzerland,2,0
3/25/2003,Taiwan,6,0
3/25/2003,Thailand,5,0
3/25/2003,United Kingdom,3,0
3/25/2003,United States,39,0
3/25/2003,Viet Nam,58,4
3/25/2003,Total,487,17
3/26/2003,Canada,19,3
3/26/2003,China,792,31
3/26/2003,Hong Kong,316,10
3/26/2003,Taiwan,6,0
3/26/2003,France,1,0
3/26/2003,Germany,4,0
3/26/2003,Italy,3,0
3/26/2003,Republic of Ireland,2,0
3/26/2003,Singapore,74,1
3/26/2003,Switzerland,2,0
3/26/2003,Thailand,3,0
3/26/2003,United Kingdom,3,0
3/26/2003,United States,40,0
3/26/2003,Viet Nam,58,4
3/26/2003,Total,1323,49
3/27/2003,Canada,28,3
3/27/2003,China,806,34
3/27/2003,Hong Kong,367,10
3/27/2003,Taiwan,6,0
3/27/2003,France,1,0
3/27/2003,Germany,4,0
3/27/2003,Italy,2,0
3/27/2003,Republic of Ireland,2,0
3/27/2003,Romania,3,0
3/27/2003,Singapore,78,2
3/27/2003,Switzerland,2,0
3/27/2003,Thailand,3,0
3/27/2003,United Kingdom,3,0
3/27/2003,United States,45,0
3/27/2003,Viet Nam,58,4
3/27/2003,Total,1408,53
3/28/2003,Canada,29,3
3/28/2003,China,806,34
3/28/2003,Hong Kong,425,10
3/28/2003,Taiwan,10,0
3/28/2003,France,1,0
3/28/2003,Germany,4,0
3/28/2003,Italy,2,0
3/28/2003,Republic of Ireland,2,0
3/28/2003,Romania,3,0
3/28/2003,Singapore,86,2
3/28/2003,Switzerland,2,0
3/28/2003,Thailand,3,0
3/28/2003,United Kingdom,3,0
3/28/2003,United States,51,0
3/28/2003,Viet Nam,58,4
3/28/2003,Total,1485,53
3/29/2003,Canada,37,3
3/29/2003,China,806,34
3/29/2003,Hong Kong,470,10
3/29/2003,Taiwan,10,0
3/29/2003,France,1,0
3/29/2003,Germany,4,0
3/29/2003,Italy,2,0
3/29/2003,Republic of Ireland,2,0
3/29/2003,Romania,3,0
3/29/2003,Singapore,89,2
3/29/2003,Switzerland,3,0
3/29/2003,Thailand,3,1
3/29/2003,United Kingdom,3,0
3/29/2003,United States,59,0
3/29/2003,Viet Nam,58,4
3/29/2003,Total,1550,54
3/31/2003,Canada,44,4
3/31/2003,China,806,34
3/31/2003,Hong Kong,530,13
3/31/2003,Taiwan,10,0
3/31/2003,France,1,0
3/31/2003,Germany,5,0
3/31/2003,Italy,2,0
3/31/2003,Republic of Ireland,2,0
3/31/2003,Romania,3,0
3/31/2003,Singapore,91,2
3/31/2003,Switzerland,3,0
3/31/2003,Thailand,5,1
3/31/2003,United Kingdom,3,0
3/31/2003,United States,59,0
3/31/2003,Viet Nam,58,4
3/31/2003,Total,1622,58
4/1/2003,Australia,1,0
4/1/2003,Belgium,1,0
4/1/2003,Canada,53,4
4/1/2003,China,806,34
4/1/2003,Hong Kong,685,16
4/1/2003,Taiwan,13,0
4/1/2003,France,1,0
4/1/2003,Germany,5,0
4/1/2003,Italy,3,0
4/1/2003,Republic of Ireland,2,0
4/1/2003,Romania,3,0
4/1/2003,Singapore,92,3
4/1/2003,Switzerland,3,0
4/1/2003,Thailand,6,1
4/1/2003,United Kingdom,3,0
4/1/2003,United States,69,0
4/1/2003,Viet Nam,58,4
4/1/2003,Total,1804,62
4/2/2003,Australia,1,0
4/2/2003,Belgium,1,0
4/2/2003,Canada,58,6
4/2/2003,China,1190,46
4/2/2003,Hong Kong,708,16
4/2/2003,Taiwan,13,0
4/2/2003,France,1,0
4/2/2003,Germany,5,0
4/2/2003,Italy,3,0
4/2/2003,Republic of Ireland,2,0
4/2/2003,Romania,3,0
4/2/2003,Singapore,95,4
4/2/2003,Spain,1,0
4/2/2003,Switzerland,2,0
4/2/2003,Thailand,7,2
4/2/2003,United Kingdom,3,0
4/2/2003,United States,72,0
4/2/2003,Viet Nam,58,4
4/2/2003,Total,2223,78
4/3/2003,Australia,1,0
4/3/2003,Belgium,1,0
4/3/2003,Brazil,1,0
4/3/2003,Canada,62,6
4/3/2003,China,1190,46
4/3/2003,Hong Kong,734,17
4/3/2003,Taiwan,14,0
4/3/2003,France,3,0
4/3/2003,Germany,5,0
4/3/2003,Italy,3,0
4/3/2003,Republic of Ireland,1,0
4/3/2003,Romania,1,0
4/3/2003,Singapore,98,4
4/3/2003,Switzerland,2,0
4/3/2003,Thailand,7,2
4/3/2003,United Kingdom,3,0
4/3/2003,United States,85,0
4/3/2003,Viet Nam,59,4
4/3/2003,Total,2270,79
4/4/2003,Australia,1,0
4/4/2003,Belgium,1,0
4/4/2003,Brazil,1,0
4/4/2003,Canada,69,7
4/4/2003,China,1220,49
4/4/2003,Hong Kong,761,17
4/4/2003,Taiwan,15,0
4/4/2003,France,3,0
4/4/2003,Germany,5,0
4/4/2003,Italy,3,0
4/4/2003,Republic of Ireland,1,0
4/4/2003,Romania,1,0
4/4/2003,Singapore,100,5
4/4/2003,Spain,1,0
4/4/2003,Switzerland,2,0
4/4/2003,Thailand,7,2
4/4/2003,United Kingdom,3,0
4/4/2003,United States,100,0
4/4/2003,Viet Nam,59,4
4/4/2003,Total,2353,84
4/5/2003,Australia,1,0
4/5/2003,Belgium,1,0
4/5/2003,Brazil,1,0
4/5/2003,Canada,74,7
4/5/2003,China,1220,49
4/5/2003,Hong Kong,800,20
4/5/2003,Taiwan,17,0
4/5/2003,France,3,0
4/5/2003,Germany,5,0
4/5/2003,Italy,3,0
4/5/2003,Malaysia,1,1
4/5/2003,Republic of Ireland,1,0
4/5/2003,Romania,1,0
4/5/2003,Singapore,101,6
4/5/2003,Spain,1,0
4/5/2003,Switzerland,1,0
4/5/2003,Thailand,7,2
4/5/2003,United Kingdom,4,0
4/5/2003,United States,115,0
4/5/2003,Viet Nam,59,4
4/5/2003,Total,2416,89
4/6/2003,Brazil,2,0
4/6/2003,Canada,103,3
4/6/2003,China,1432,14
4/6/2003,Hong Kong,1268,36
4/6/2003,Taiwan,27,4
4/6/2003,France,5,0
4/6/2003,Germany,6,0
4/6/2003,Indonesia,1,0
4/6/2003,Italy,3,0
4/6/2003,Japan,1,0
4/6/2003,Kuwait,1,0
4/6/2003,Malaysia,5,1
4/6/2003,Philippines,1,0
4/6/2003,Republic of Ireland,1,0
4/6/2003,Romania,1,0
4/6/2003,Singapore,162,0
4/6/2003,South Africa,1,0
4/6/2003,Spain,1,0
4/6/2003,Sweden,1,0
4/6/2003,Switzerland,1,0
4/6/2003,Thailand,8,0
4/6/2003,United Kingdom,6,0
4/6/2003,United States,193,0
4/6/2003,Viet Nam,63,0
4/6/2003,Total,3293,58
4/7/2003,Australia,1,0
4/7/2003,Brazil,1,0
4/7/2003,Canada,90,9
4/7/2003,China,1268,53
4/7/2003,Hong Kong,883,23
4/7/2003,Taiwan,21,0
4/7/2003,France,3,0
4/7/2003,Germany,5,0
4/7/2003,Italy,3,0
4/7/2003,Malaysia,1,1
4/7/2003,Republic of Ireland,1,0
4/7/2003,Romania,1,0
4/7/2003,Singapore,106,6
4/7/2003,Spain,1,0
4/7/2003,Switzerland,1,0
