,days,covid_confirmed,ebola_confirmed,sars_confirmed
0,0,555,1754.0,167.0
1,1,653,1754.0,219.0
2,2,941,1754.0,264.0
3,3,1438,1754.0,306.0
4,4,2118,1754.0,350.0
5,5,2927,1754.0,386.0
6,6,5578,1754.0,386.0
7,7,6165,2383.0,456.0
8,8,8235,2383.0,487.0
9,9,9925,2383.0,1323.0
10,10,12038,2552.0,1408.0
11,11,16787,2552.0,1485.0
12,12,19881,2552.0,1550.0
13,13,23892,2552.0,1550.0
14,14,27636,2639.0,1622.0
15,15,30818,2639.0,1804.0
16,16,34392,2639.0,2223.0
17,17,37121,2639.0,2270.0
18,18,40151,3017.0,2353.0
19,19,42763,3017.0,2416.0
20,20,44803,3095.0,3293.0
21,21,45222,3095.0,2601.0
22,22,60370,3095.0,2671.0
23,23,66887,3095.0,2722.0
24,24,69032,3341.0,2781.0
25,25,71226,3341.0,2890.0
26,26,73260,3487.0,2960.0
27,27,75138,3487.0,2960.0
28,28,75641,3626.0,3169.0
29,29,76199,3626.0,3235.0
30,30,76843,3626.0,3293.0
31,31,78599,3626.0,3389.0
32,32,78985,3626.0,3547.0
33,33,79570,3973.0,3547.0
34,34,80415,3973.0,3547.0
35,35,81397,4108.0,3861.0
36,36,82756,4108.0,3947.0
37,37,84124,4108.0,4288.0
38,38,86013,4108.0,4439.0
39,39,88371,4108.0,4649.0
40,40,90309,4461.0,4836.0
41,41,92844,4461.0,4836.0
42,42,95124,4655.0,5050.0
43,43,97886,4655.0,5462.0
44,44,101800,4655.0,5663.0
45,45,105836,4655.0,5865.0
46,46,109835,4655.0,6054.0
47,47,113582,5006.0,6234.0
48,48,118582,5006.0,7628.0
49,49,125865,4218.0,6583.0
50,50,128343,4218.0,6727.0
51,51,145193,4218.0,6903.0
52,52,156099,4218.0,7053.0
53,53,167447,4218.0,7183.0
54,54,181546,5501.0,7296.0
55,55,197168,5501.0,7296.0
56,56,214915,5501.0,7447.0
57,57,242713,5692.0,7548.0
58,58,272167,5692.0,7628.0
59,59,304549,5692.0,7699.0
60,60,337122,5692.0,7739.0
61,61,378283,7632.0,7761.0
62,62,417962,7632.0,7761.0
63,63,467594,7728.0,7864.0
64,64,529591,7728.0,7919.0
65,65,593291,7728.0,7956.0
66,66,660693,7728.0,8046.0
67,67,720140,7728.0,8117.0
68,68,782389,7991.0,8141.0
69,69,857487,7991.0,8141.0
70,70,932605,8168.0,8202.0
71,71,1013303,8168.0,8221.0
72,72,1095917,8168.0,8240.0
73,73,1197408,8168.0,8295.0
74,74,1272115,8168.0,8317.0
75,75,1345101,8715.0,8360.0
76,76,1426096,8715.0,8435.0
77,77,1511104,8920.0,8384.0
78,78,1595350,8920.0,8398.0
79,79,1691719,8920.0,8402.0
80,80,1771514,8920.0,8403.0
81,81,1846680,8920.0,8404.0
82,82,1917320,9427.0,8464.0
83,83,1976192,9427.0,8465.0
84,84,2056055,9596.0,84210.0
85,85,2152647,9596.0,8430.0
86,86,2240191,9596.0,8435.0
87,87,2317759,9596.0,8445.0
88,88,2401379,9596.0,8454.0
89,89,2472259,10050.0,8454.0
90,90,2549123,10050.0,8454.0
91,91,2623960,10050.0,8460.0
92,92,2708885,10050.0,8464.0
93,93,2810715,10050.0,8465.0
94,94,2896746,10585.0,8462.0
95,95,2971475,10585.0,8461.0
96,96,3041764,10740.0,8461.0
97,97,3116398,10740.0,8461.0
98,98,3193886,10740.0,8459.0
99,99,3256846,10740.0,8458.0
100,100,3343777,10740.0,8460.0
101,101,3427343,10740.0,8456.0
102,102,3506729,10740.0,8450.0
103,103,3583055,11288.0,8450.0
