Date,Country/Region,Confirmed,Deaths
2020-01-22,Hong Kong,0,0
2020-01-22,Japan,2,0
2020-01-22,Macao,1,0
2020-01-22,China,547,17
2020-01-22,South Korea,1,0
2020-01-22,Taiwan,1,0
2020-01-22,Thailand,2,0
2020-01-22,United States of America,1,0
2020-01-22,Total,555,17
2020-01-23,Australia,0,0
2020-01-23,Brazil,0,0
2020-01-23,Colombia,0,0
2020-01-23,Hong Kong,2,0
2020-01-23,Japan,1,0
2020-01-23,Macao,2,0
2020-01-23,China,639,18
2020-01-23,Malaysia,0,0
2020-01-23,Mexico,0,0
2020-01-23,Philippines,0,0
2020-01-23,Singapore,1,0
2020-01-23,South Korea,1,0
2020-01-23,Taiwan,1,0
2020-01-23,Thailand,3,0
2020-01-23,United States of America,1,0
2020-01-23,Viet Nam,2,0
2020-01-23,Total,653,18
2020-01-24,France,2,0
2020-01-24,Hong Kong,2,0
2020-01-24,Japan,2,0
2020-01-24,Macao,2,0
2020-01-24,China,916,26
2020-01-24,Singapore,3,0
2020-01-24,South Korea,2,0
2020-01-24,Taiwan,3,0
2020-01-24,Thailand,5,0
2020-01-24,United States of America,2,0
2020-01-24,Viet Nam,2,0
2020-01-24,Total,941,26
2020-01-25,Australia,4,0
2020-01-25,France,3,0
2020-01-25,Hong Kong,5,0
2020-01-25,Japan,2,0
2020-01-25,Macao,2,0
2020-01-25,China,1399,42
2020-01-25,Malaysia,3,0
2020-01-25,Nepal,1,0
2020-01-25,Singapore,3,0
2020-01-25,South Korea,2,0
2020-01-25,Taiwan,3,0
2020-01-25,Thailand,7,0
2020-01-25,United States of America,2,0
2020-01-25,Viet Nam,2,0
2020-01-25,Total,1438,42
2020-01-26,Australia,4,0
2020-01-26,Canada,1,0
2020-01-26,France,3,0
2020-01-26,Hong Kong,8,0
2020-01-26,Japan,4,0
2020-01-26,Macao,5,0
2020-01-26,China,2062,56
2020-01-26,Malaysia,4,0
2020-01-26,Nepal,1,0
2020-01-26,Singapore,4,0
2020-01-26,South Korea,3,0
2020-01-26,Taiwan,4,0
2020-01-26,Thailand,8,0
2020-01-26,United States of America,5,0
2020-01-26,Viet Nam,2,0
2020-01-26,Total,2118,56
2020-01-27,Australia,5,0
2020-01-27,Cambodia,1,0
2020-01-27,Canada,1,0
2020-01-27,France,3,0
2020-01-27,Hong Kong,8,0
2020-01-27,Ivory Coast,1,0
2020-01-27,Japan,4,0
2020-01-27,Macao,6,0
2020-01-27,China,2863,82
2020-01-27,Malaysia,4,0
2020-01-27,Nepal,1,0
2020-01-27,Singapore,5,0
2020-01-27,South Korea,4,0
2020-01-27,Sri Lanka,1,0
2020-01-27,Taiwan,5,0
2020-01-27,Thailand,8,0
2020-01-27,United States of America,5,0
2020-01-27,Viet Nam,2,0
2020-01-27,Total,2927,82
2020-01-28,Australia,5,0
2020-01-28,Cambodia,1,0
2020-01-28,Canada,2,0
2020-01-28,France,4,0
2020-01-28,Germany,4,0
2020-01-28,Hong Kong,8,0
2020-01-28,Japan,7,0
2020-01-28,Macao,7,0
2020-01-28,China,5494,131
2020-01-28,Malaysia,4,0
2020-01-28,Nepal,1,0
2020-01-28,Singapore,7,0
2020-01-28,South Korea,4,0
2020-01-28,Sri Lanka,1,0
2020-01-28,Taiwan,8,0
2020-01-28,Thailand,14,0
2020-01-28,United States of America,5,0
2020-01-28,Viet Nam,2,0
2020-01-28,Total,5578,131
2020-01-29,Australia,5,0
2020-01-29,Cambodia,1,0
2020-01-29,Canada,2,0
2020-01-29,Finland,1,0
2020-01-29,France,5,0
2020-01-29,Germany,4,0
2020-01-29,Hong Kong,10,0
2020-01-29,Japan,7,0
2020-01-29,Macao,7,0
2020-01-29,China,6070,133
2020-01-29,Malaysia,7,0
2020-01-29,Nepal,1,0
2020-01-29,Singapore,7,0
2020-01-29,South Korea,4,0
2020-01-29,Sri Lanka,1,0
2020-01-29,Taiwan,8,0
2020-01-29,Thailand,14,0
2020-01-29,United States of America,5,0
2020-01-29,United Arab Emirates,4,0
2020-01-29,Viet Nam,2,0
2020-01-29,Total,6165,133
2020-01-30,Australia,9,0
2020-01-30,Cambodia,1,0
2020-01-30,Canada,3,0
2020-01-30,Finland,1,0
