Province/State,Country/Region,Confirmed,Deaths,Date,Latitude,Longitude
Hubei,Mainland China,3554,125.0,2020-01-29,,
Zhejiang,Mainland China,296,0.0,2020-01-29,,
Guangdong,Mainland China,277,0.0,2020-01-29,,
Hunan,Mainland China,221,0.0,2020-01-29,,
Henan,Mainland China,206,2.0,2020-01-29,,
Anhui,Mainland China,152,0.0,2020-01-29,,
Chongqing,Mainland China,147,0.0,2020-01-29,,
Shandong,Mainland China,130,0.0,2020-01-29,,
Beijing,Mainland China,111,1.0,2020-01-29,,
Jiangxi,Mainland China,109,0.0,2020-01-29,,
Sichuan,Mainland China,108,1.0,2020-01-29,,
Jiangsu,Mainland China,99,0.0,2020-01-29,,
Shanghai,Mainland China,96,1.0,2020-01-29,,
Fujian,Mainland China,84,0.0,2020-01-29,,
Guangxi,Mainland China,58,0.0,2020-01-29,,
Shaanxi,Mainland China,56,0.0,2020-01-29,,
Yunnan,Mainland China,55,0.0,2020-01-29,,
Hebei,Mainland China,48,1.0,2020-01-29,,
Hainan,Mainland China,43,1.0,2020-01-29,,
Liaoning,Mainland China,39,0.0,2020-01-29,,
Heilongjiang,Mainland China,38,1.0,2020-01-29,,
Tianjin,Mainland China,27,0.0,2020-01-29,,
Shanxi,Mainland China,27,0.0,2020-01-29,,
Gansu,Mainland China,24,0.0,2020-01-29,,
Inner Mongolia,Mainland China,16,0.0,2020-01-29,,
Xinjiang,Mainland China,13,0.0,2020-01-29,,
Ningxia,Mainland China,12,0.0,2020-01-29,,
Hong Kong,Hong Kong,10,0.0,2020-01-29,,
Guizhou,Mainland China,9,0.0,2020-01-29,,
Jilin,Mainland China,9,0.0,2020-01-29,,
Taiwan,Taiwan,8,0.0,2020-01-29,,
Macau,Macau,7,0.0,2020-01-29,,
Qinghai,Mainland China,6,0.0,2020-01-29,,
Washington,US,1,0.0,2020-01-29,,
Illinois,US,1,0.0,2020-01-29,,
California,US,2,0.0,2020-01-29,,
Arizona,US,1,0.0,2020-01-29,,
,Japan,7,0.0,2020-01-29,,
,Thailand,14,0.0,2020-01-29,,
,South Korea,4,0.0,2020-01-29,,
,Singapore,7,0.0,2020-01-29,,
,Vietnam,2,0.0,2020-01-29,,
,France,5,0.0,2020-01-29,,
,Nepal,1,0.0,2020-01-29,,
,Malaysia,7,0.0,2020-01-29,,
Ontario,Canada,1,0.0,2020-01-29,,
British Columbia,Canada,1,0.0,2020-01-29,,
,Cambodia,1,0.0,2020-01-29,,
,Sri Lanka,1,0.0,2020-01-29,,
New South Wales,Australia,4,0.0,2020-01-29,,
Victoria,Australia,1,0.0,2020-01-29,,
Bavaria,Germany,4,0.0,2020-01-29,,
,Finland,1,0.0,2020-01-29,,
,United Arab Emirates,4,0.0,2020-01-29,,
