,Country,Date,No. of confirmed cases,datetime,continent,code
0,Guinea,2014-08-29,482.0,2014-08-29,Africa,GQ
1,Nigeria,2014-08-29,15.0,2014-08-29,Africa,NG
2,Sierra Leone,2014-08-29,935.0,2014-08-29,Africa,SL
3,Liberia,2014-08-29,322.0,2014-08-29,Africa,LR
4,Sierra Leone,2014-09-05,1146.0,2014-09-05,Africa,SL
5,Nigeria,2014-09-05,18.0,2014-09-05,Africa,NG
6,Liberia,2014-09-05,614.0,2014-09-05,Africa,LR
7,Guinea,2014-09-05,604.0,2014-09-05,Africa,GQ
8,Senegal,2014-09-05,1.0,2014-09-05,Africa,SN
9,Senegal,2014-09-08,1.0,2014-09-08,Africa,SN
10,Guinea,2014-09-08,664.0,2014-09-08,Africa,GQ
11,Sierra Leone,2014-09-08,1234.0,2014-09-08,Africa,SL
12,Liberia,2014-09-08,634.0,2014-09-08,Africa,LR
13,Nigeria,2014-09-08,19.0,2014-09-08,Africa,NG
14,Guinea,2014-09-12,678.0,2014-09-12,Africa,GQ
15,Sierra Leone,2014-09-12,1287.0,2014-09-12,Africa,SL
16,Nigeria,2014-09-12,19.0,2014-09-12,Africa,NG
17,Liberia,2014-09-12,654.0,2014-09-12,Africa,LR
18,Senegal,2014-09-12,1.0,2014-09-12,Africa,SN
19,Senegal,2014-09-16,1.0,2014-09-16,Africa,SN
20,Sierra Leone,2014-09-16,1464.0,2014-09-16,Africa,SL
21,Guinea,2014-09-16,743.0,2014-09-16,Africa,GQ
22,Nigeria,2014-09-16,19.0,2014-09-16,Africa,NG
23,Liberia,2014-09-16,790.0,2014-09-16,Africa,LR
24,Nigeria,2014-09-18,19.0,2014-09-18,Africa,NG
25,Guinea,2014-09-18,750.0,2014-09-18,Africa,GQ
26,Sierra Leone,2014-09-18,1513.0,2014-09-18,Africa,SL
27,Liberia,2014-09-18,812.0,2014-09-18,Africa,LR
28,Senegal,2014-09-18,1.0,2014-09-18,Africa,SN
29,Nigeria,2014-09-22,19.0,2014-09-22,Africa,NG
30,Sierra Leone,2014-09-22,1640.0,2014-09-22,Africa,SL
31,Liberia,2014-09-22,863.0,2014-09-22,Africa,LR
32,Senegal,2014-09-22,1.0,2014-09-22,Africa,SN
33,Guinea,2014-09-22,818.0,2014-09-22,Africa,GQ
34,Liberia,2014-09-24,890.0,2014-09-24,Africa,LR
35,Guinea,2014-09-24,832.0,2014-09-24,Africa,GQ
36,Nigeria,2014-09-24,19.0,2014-09-24,Africa,NG
37,Senegal,2014-09-24,1.0,2014-09-24,Africa,SN
38,Sierra Leone,2014-09-24,1745.0,2014-09-24,Africa,SL
39,Sierra Leone,2014-09-26,1816.0,2014-09-26,Africa,SL
40,Liberia,2014-09-26,914.0,2014-09-26,Africa,LR
41,Senegal,2014-09-26,1.0,2014-09-26,Africa,SN
42,Guinea,2014-09-26,876.0,2014-09-26,Africa,GQ
43,Nigeria,2014-09-26,19.0,2014-09-26,Africa,NG
44,Guinea,2014-10-01,950.0,2014-10-01,Africa,GQ
45,Senegal,2014-10-01,1.0,2014-10-01,Africa,SN
46,Nigeria,2014-10-01,19.0,2014-10-01,Africa,NG
47,Sierra Leone,2014-10-01,2076.0,2014-10-01,Africa,SL
48,Liberia,2014-10-01,927.0,2014-10-01,Africa,LR
49,United States of America,2014-10-03,1.0,2014-10-03,North America,US
50,Nigeria,2014-10-03,19.0,2014-10-03,Africa,NG
51,Guinea,2014-10-03,977.0,2014-10-03,Africa,GQ
52,Liberia,2014-10-03,931.0,2014-10-03,Africa,LR
53,Sierra Leone,2014-10-03,2179.0,2014-10-03,Africa,SL
54,Senegal,2014-10-03,1.0,2014-10-03,Africa,SN
55,Nigeria,2014-10-08,19.0,2014-10-08,Africa,NG
56,United States of America,2014-10-08,1.0,2014-10-08,North America,US
57,Senegal,2014-10-08,1.0,2014-10-08,Africa,SN
58,Guinea,2014-10-08,1044.0,2014-10-08,Africa,GQ
59,Sierra Leone,2014-10-08,2455.0,2014-10-08,Africa,SL
60,Liberia,2014-10-08,941.0,2014-10-08,Africa,LR
61,United States of America,2014-10-10,1.0,2014-10-10,North America,US
62,Senegal,2014-10-10,1.0,2014-10-10,Africa,SN
63,Liberia,2014-10-10,943.0,2014-10-10,Africa,LR
64,Nigeria,2014-10-10,19.0,2014-10-10,Africa,NG
65,Spain,2014-10-10,1.0,2014-10-10,Europe,ES
66,Guinea,2014-10-10,1097.0,2014-10-10,Africa,GQ
67,Sierra Leone,2014-10-10,2593.0,2014-10-10,Africa,SL
68,United States of America,2014-10-15,2.0,2014-10-15,North America,US
69,Senegal,2014-10-15,1.0,2014-10-15,Africa,SN
70,Nigeria,2014-10-15,19.0,2014-10-15,Africa,NG
71,Liberia,2014-10-15,950.0,2014-10-15,Africa,LR
72,Spain,2014-10-15,1.0,2014-10-15,Europe,ES
73,Guinea,2014-10-15,1184.0,2014-10-15,Africa,GQ
74,Sierra Leone,2014-10-15,2849.0,2014-10-15,Africa,SL
75,Guinea,2014-10-17,1217.0,2014-10-17,Africa,GQ
76,Nigeria,2014-10-17,19.0,2014-10-17,Africa,NG
77,Spain,2014-10-17,1.0,2014-10-17,Europe,ES
78,Senegal,2014-10-17,1.0,2014-10-17,Africa,SN
79,United States of America,2014-10-17,3.0,2014-10-17,North America,US
80,Liberia,2014-10-17,,2014-10-17,Africa,LR
81,Sierra Leone,2014-10-17,2977.0,2014-10-17,Africa,SL
82,Nigeria,2014-10-22,19.0,2014-10-22,Africa,NG
83,Spain,2014-10-22,1.0,2014-10-22,Europe,ES
84,United States of America,2014-10-22,3.0,2014-10-22,North America,US
85,Sierra Leone,2014-10-22,3223.0,2014-10-22,Africa,SL
86,Senegal,2014-10-22,1.0,2014-10-22,Africa,SN
87,Liberia,2014-10-22,965.0,2014-10-22,Africa,LR
88,Guinea,2014-10-22,1289.0,2014-10-22,Africa,GQ
89,Mali,2014-10-25,1.0,2014-10-25,Africa,ML
90,United States of America,2014-10-25,4.0,2014-10-25,North America,US
91,Sierra Leone,2014-10-25,3389.0,2014-10-25,Africa,SL
92,Spain,2014-10-25,1.0,2014-10-25,Europe,ES
93,Senegal,2014-10-25,1.0,2014-10-25,Africa,SN
94,Nigeria,2014-10-25,19.0,2014-10-25,Africa,NG
95,Guinea,2014-10-25,1312.0,2014-10-25,Africa,GQ
96,Liberia,2014-10-25,965.0,2014-10-25,Africa,LR
97,Liberia,2014-10-29,2515.0,2014-10-29,Africa,LR
98,Mali,2014-10-29,1.0,2014-10-29,Africa,ML
99,Nigeria,2014-10-29,19.0,2014-10-29,Africa,NG
100,Senegal,2014-10-29,1.0,2014-10-29,Africa,SN
101,Spain,2014-10-29,1.0,2014-10-29,Europe,ES
102,Guinea,2014-10-29,1391.0,2014-10-29,Africa,GQ
103,United States of America,2014-10-29,4.0,2014-10-29,North America,US
104,Sierra Leone,2014-10-29,3700.0,2014-10-29,Africa,SL
105,Guinea,2014-10-31,1409.0,2014-10-31,Africa,GQ
106,Nigeria,2014-10-31,19.0,2014-10-31,Africa,NG
107,Spain,2014-10-31,1.0,2014-10-31,Europe,ES
108,United States of America,2014-10-31,4.0,2014-10-31,North America,US
109,Senegal,2014-10-31,1.0,2014-10-31,Africa,SN
110,Mali,2014-10-31,1.0,2014-10-31,Africa,ML
111,Liberia,2014-10-31,2515.0,2014-10-31,Africa,LR
112,Sierra Leone,2014-10-31,3778.0,2014-10-31,Africa,SL
113,Spain,2014-11-05,1.0,2014-11-05,Europe,ES
114,United States of America,2014-11-05,4.0,2014-11-05,North America,US
115,Guinea,2014-11-05,1457.0,2014-11-05,Africa,GQ
116,Liberia,2014-11-05,2451.0,2014-11-05,Africa,LR
117,Mali,2014-11-05,1.0,2014-11-05,Africa,ML
118,Nigeria,2014-11-05,19.0,2014-11-05,Africa,NG
119,Senegal,2014-11-05,1.0,2014-11-05,Africa,SN
120,Sierra Leone,2014-11-05,4057.0,2014-11-05,Africa,SL
121,Nigeria,2014-11-07,19.0,2014-11-07,Africa,NG
122,Guinea,2014-11-07,1479.0,2014-11-07,Africa,GQ
123,United States of America,2014-11-07,4.0,2014-11-07,North America,US
124,Senegal,2014-11-07,1.0,2014-11-07,Africa,SN
125,Liberia,2014-11-07,2514.0,2014-11-07,Africa,LR
126,Spain,2014-11-07,1.0,2014-11-07,Europe,ES
127,Mali,2014-11-07,1.0,2014-11-07,Africa,ML
128,Sierra Leone,2014-11-07,4149.0,2014-11-07,Africa,SL
129,Spain,2014-11-12,1.0,2014-11-12,Europe,ES
130,United States of America,2014-11-12,4.0,2014-11-12,North America,US
131,Mali,2014-11-12,2.0,2014-11-12,Africa,ML
132,Nigeria,2014-11-12,19.0,2014-11-12,Africa,NG
133,Guinea,2014-11-12,1612.0,2014-11-12,Africa,GQ
134,Sierra Leone,2014-11-12,4523.0,2014-11-12,Africa,SL
135,Liberia,2014-11-12,2553.0,2014-11-12,Africa,LR
136,Senegal,2014-11-12,1.0,2014-11-12,Africa,SN
137,Senegal,2014-11-14,1.0,2014-11-14,Africa,SN
138,Guinea,2014-11-14,1647.0,2014-11-14,Africa,GQ
139,Spain,2014-11-14,1.0,2014-11-14,Europe,ES
140,Nigeria,2014-11-14,19.0,2014-11-14,Africa,NG
141,Mali,2014-11-14,3.0,2014-11-14,Africa,ML
142,United States of America,2014-11-14,4.0,2014-11-14,North America,US
143,Liberia,2014-11-14,2562.0,2014-11-14,Africa,LR
144,Sierra Leone,2014-11-14,4683.0,2014-11-14,Africa,SL
145,Liberia,2014-11-19,2643.0,2014-11-19,Africa,LR
146,Spain,2014-11-19,1.0,2014-11-19,Europe,ES
147,Sierra Leone,2014-11-19,5056.0,2014-11-19,Africa,SL
148,Senegal,2014-11-19,1.0,2014-11-19,Africa,SN
149,Nigeria,2014-11-19,19.0,2014-11-19,Africa,NG
150,Mali,2014-11-19,5.0,2014-11-19,Africa,ML
151,United States of America,2014-11-19,4.0,2014-11-19,North America,US
152,Guinea,2014-11-19,1698.0,2014-11-19,Africa,GQ
153,Spain,2014-11-21,1.0,2014-11-21,Europe,ES
154,Liberia,2014-11-21,2669.0,2014-11-21,Africa,LR
155,Nigeria,2014-11-21,19.0,2014-11-21,Africa,NG
156,United States of America,2014-11-21,4.0,2014-11-21,North America,US
