Date,Price,Daily Change %
2020-01-22,3769.79,-0.51
2020-01-23,3736.85,-0.87
2020-01-24,3779.16,1.13
2020-01-27,3677.84,-2.68
2020-01-28,3719.22,1.13
2020-01-29,3736.36,0.46
2020-01-30,3690.78,-1.22
2020-01-31,3640.91,-1.35
2020-02-03,3661.27,0.56
2020-02-04,3732.28,1.94
2020-02-05,3777.84,1.22
2020-02-06,3805.52,0.73
2020-02-07,3798.49,-0.18
2020-02-10,3793.18,-0.14
2020-02-11,3825.84,0.86
2020-02-12,3854.43,0.75
2020-02-13,3846.74,-0.2
2020-02-14,3840.97,-0.15
2020-02-17,3853.27,0.32
2020-02-18,3836.54,-0.43
2020-02-19,3865.18,0.75
2020-02-20,3822.98,-1.09
2020-02-21,3800.38,-0.59
2020-02-24,3647.98,-4.01
2020-02-25,3572.51,-2.07
2020-02-26,3577.68,0.14
2020-02-27,3455.92,-3.4
2020-02-28,3329.49,-3.66
2020-03-02,3338.83,0.28
2020-03-03,3371.97,0.99
2020-03-04,3420.56,1.44
2020-03-05,3363.58,-1.67
2020-03-06,3232.07,-3.91
2020-03-09,2959.07,-8.45
2020-03-10,2910.02,-1.66
2020-03-11,2905.56,-0.15
2020-03-12,2545.23,-12.4
2020-03-13,2586.02,1.6
2020-03-16,2450.37,-5.25
2020-03-17,2530.5,3.27
2020-03-18,2385.82,-5.72
2020-03-19,2454.08,2.86
2020-03-20,2548.5,3.85
2020-03-23,2485.54,-2.47
2020-03-24,2715.11,9.24
2020-03-25,2800.14,3.13
2020-03-26,2847.78,1.7
2020-03-27,2728.65,-4.18
2020-03-30,2765.62,1.35
2020-03-31,2786.9,0.77
2020-04-01,2680.3,-3.83
2020-04-02,2688.49,0.31
2020-04-03,2662.99,-0.95
2020-04-06,2795.97,4.99
2020-04-07,2857.67,2.21
2020-04-08,2851.27,-0.22
2020-04-09,2892.79,1.46
2020-04-14,2917.74,0.86
2020-04-15,2808.2,-3.75
2020-04-16,2812.35,0.15
2020-04-17,2888.3,2.7
2020-04-20,2909.5,0.73
2020-04-21,2791.34,-4.06
2020-04-22,2834.9,1.56
2020-04-23,2852.46,0.62
2020-04-24,2809.07,-1.52
2020-04-27,2882.09,2.6
2020-04-28,2932.06,1.73
2020-04-29,2996.08,2.18
2020-04-30,2927.93,-2.27
2020-05-01,2927.93,0.0
2020-05-04,2816.48,-3.81
2020-05-05,2875.91,2.11
2020-05-06,2845.25,-1.07
