Date,Price,Daily Change %
2020-01-22,23706.29,-0.58
2020-01-23,23707.05,0.0
2020-01-24,23969.13,1.11
2020-01-27,23416.13,-2.31
2020-01-28,24027.63,2.61
2020-01-29,24164.73,0.57
2020-01-30,23781.1,-1.59
2020-01-31,23237.03,-2.29
2020-02-03,23460.01,0.96
2020-02-04,23844.85,1.64
2020-02-05,24236.63,1.64
2020-02-06,24490.35,1.05
2020-02-07,24478.32,-0.05
2020-02-10,24507.7,0.12
2020-02-11,24688.89,0.74
2020-02-12,24861.28,0.7
2020-02-13,24892.15,0.12
2020-02-14,24867.01,-0.1
2020-02-17,25120.54,1.02
2020-02-18,25223.51,0.41
2020-02-19,25477.55,1.01
2020-02-20,25080.16,-1.56
2020-02-21,24773.15,-1.22
2020-02-24,23427.19,-5.43
2020-02-25,23090.44,-1.44
2020-02-26,23422.54,1.44
2020-02-27,22799.37,-2.66
2020-02-28,21984.21,-3.58
2020-03-02,21655.09,-1.5
2020-03-03,21748.2,0.43
2020-03-04,21946.03,0.91
2020-03-05,21554.88,-1.78
2020-03-06,20799.89,-3.5
2020-03-09,18475.91,-11.17
2020-03-10,17870.18,-3.28
2020-03-11,17928.64,0.33
2020-03-12,14894.44,-16.92
2020-03-13,15954.29,7.12
2020-03-16,14980.34,-6.1
2020-03-17,15314.77,2.23
2020-03-18,15120.48,-1.27
2020-03-19,15466.97,2.29
2020-03-20,15731.85,1.71
2020-03-23,15559.8,-1.09
2020-03-24,16948.6,8.93
2020-03-25,17243.68,1.74
2020-03-26,17369.38,0.73
2020-03-27,16822.59,-3.15
2020-03-30,16872.41,0.3
2020-03-31,17050.94,1.06
2020-04-01,16544.97,-2.97
2020-04-02,16834.03,1.75
2020-04-03,16384.35,-2.67
2020-04-06,17039.31,4.0
2020-04-07,17411.72,2.19
2020-04-08,17380.82,-0.18
2020-04-09,17621.62,1.39
2020-04-14,17558.43,-0.36
2020-04-15,16719.07,-4.78
2020-04-16,16768.14,0.29
2020-04-17,17055.47,1.71
2020-04-20,17064.14,0.05
2020-04-21,16450.85,-3.59
2020-04-22,16765.28,1.91
2020-04-23,17011.11,1.47
2020-04-24,16858.89,-0.89
2020-04-27,17380.21,3.09
2020-04-28,17677.15,1.71
2020-04-29,18067.29,2.21
2020-04-30,17690.49,-2.09
2020-05-04,17035.61,-3.7
2020-05-05,17387.38,2.06
2020-05-06,17159.31,-1.31
