"name,",tested,positive,deaths
AK,19119,355,9
AL,85367,6904,255
AR,46505,3207,59
AZ,68813,7202,304
CA,603139,46500,1887
CO,69449,14758,766
CT,94818,26767,2168
DC,19229,4106,205
DE,21538,4655,144
FL,375300,33193,1218
GA,143790,25646,1096
HI,28260,613,16
IA,41337,6843,148
ID,28693,1984,60
IL,256667,50355,2215
IN,91550,17182,964
KS,29458,3738,125
KY,54101,4539,235
LA,143036,27660,1802
MA,265618,60265,3405
MD,110929,20849,1078
ME,15132,1056,52
MI,177228,40399,3670
MN,66744,4644,319
MO,77037,7425,318
MS,66094,6569,250
MT,13528,451,16
NC,118440,9948,354
ND,25536,1033,19
NE,25498,3784,68
NH,21921,2054,66
NJ,241318,116264,6770
NM,65085,3213,112
NV,41028,4898,237
NY,872481,299691,18015
OH,128206,16601,937
OK,47984,3473,214
OR,54472,2446,101
PA,214883,44366,2195
PR,11633,1389,86
RI,60165,8247,251
SC,54217,5881,232
SD,16833,2373,13
TN,168549,10366,195
TX,314790,27054,732
UT,105778,4495,45
VA,85307,14961,522
VT,15429,862,47
WA,187800,14070,801
WI,73150,6520,308
WV,44021,1109,40
WY,9298,404,7
