,Country,Date,No. of confirmed cases,datetime,day,continent,code,lat,long
0,Guinea,2014-08-29,482.0,2014-08-29,0,Africa,GQ,1.6508009999999997,10.267895
1,Nigeria,2014-08-29,15.0,2014-08-29,0,Africa,NG,9.081999,8.675277000000001
2,Sierra Leone,2014-08-29,935.0,2014-08-29,0,Africa,SL,8.460555000000001,-11.779889
3,Liberia,2014-08-29,322.0,2014-08-29,0,Africa,LR,6.4280550000000005,-9.429499
39,Sierra Leone,2014-09-26,1816.0,2014-09-26,30,Africa,SL,8.460555000000001,-11.779889
40,Liberia,2014-09-26,914.0,2014-09-26,30,Africa,LR,6.4280550000000005,-9.429499
41,Senegal,2014-09-26,1.0,2014-09-26,30,Africa,SN,14.497401000000002,-14.452361999999999
42,Guinea,2014-09-26,876.0,2014-09-26,30,Africa,GQ,1.6508009999999997,10.267895
43,Nigeria,2014-09-26,19.0,2014-09-26,30,Africa,NG,9.081999,8.675277000000001
97,Liberia,2014-10-29,2515.0,2014-10-29,60,Africa,LR,6.4280550000000005,-9.429499
98,Mali,2014-10-29,1.0,2014-10-29,60,Africa,ML,17.570692,-3.9961660000000006
99,Nigeria,2014-10-29,19.0,2014-10-29,60,Africa,NG,9.081999,8.675277000000001
100,Senegal,2014-10-29,1.0,2014-10-29,60,Africa,SN,14.497401000000002,-14.452361999999999
101,Spain,2014-10-29,1.0,2014-10-29,60,Europe,ES,40.463667,-3.7492199999999998
102,Guinea,2014-10-29,1391.0,2014-10-29,60,Africa,GQ,1.6508009999999997,10.267895
103,United States of America,2014-10-29,4.0,2014-10-29,60,North America,US,37.09024,-95.712891
104,Sierra Leone,2014-10-29,3700.0,2014-10-29,60,Africa,SL,8.460555000000001,-11.779889
161,Sierra Leone,2014-11-26,5441.0,2014-11-26,90,Africa,SL,8.460555000000001,-11.779889
162,Liberia,2014-11-26,2727.0,2014-11-26,90,Africa,LR,6.4280550000000005,-9.429499
163,Mali,2014-11-26,7.0,2014-11-26,90,Africa,ML,17.570692,-3.9961660000000006
164,United States of America,2014-11-26,4.0,2014-11-26,90,North America,US,37.09024,-95.712891
165,Spain,2014-11-26,1.0,2014-11-26,90,Europe,ES,40.463667,-3.7492199999999998
166,Nigeria,2014-11-26,19.0,2014-11-26,90,Africa,NG,9.081999,8.675277000000001
167,Guinea,2014-11-26,1850.0,2014-11-26,90,Africa,GQ,1.6508009999999997,10.267895
168,Senegal,2014-11-26,1.0,2014-11-26,90,Africa,SN,14.497401000000002,-14.452361999999999
