"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2003","3,326.51","3,264.58","3,332.12","3,245.45","-","1.73%"
"Jul 10, 2003","3,269.84","3,322.04","3,322.04","3,255.89","-","-1.58%"
"Jul 09, 2003","3,322.43","3,343.13","3,358.06","3,299.74","-","-0.66%"
"Jul 08, 2003","3,344.46","3,335.00","3,363.43","3,308.79","-","0.35%"
"Jul 07, 2003","3,332.87","3,244.94","3,359.01","3,244.94","-","2.88%"
"Jul 04, 2003","3,239.61","3,237.80","3,243.73","3,213.61","-","-0.07%"
"Jul 03, 2003","3,241.92","3,237.05","3,261.58","3,196.73","-","0.03%"
"Jul 02, 2003","3,241.04","3,148.10","3,243.04","3,148.10","-","3.00%"
"Jul 01, 2003","3,146.55","3,217.21","3,217.21","3,119.35","-","-2.30%"
"Jun 30, 2003","3,220.58","3,228.81","3,271.31","3,181.76","-","-0.13%"
"Jun 27, 2003","3,224.66","3,251.87","3,263.12","3,207.13","-","-0.51%"
"Jun 26, 2003","3,241.22","3,194.98","3,246.67","3,157.70","-","1.33%"
"Jun 25, 2003","3,198.82","3,217.23","3,237.48","3,180.03","-","-0.58%"
"Jun 24, 2003","3,217.34","3,185.18","3,228.37","3,165.25","-","0.97%"
"Jun 23, 2003","3,186.39","3,236.96","3,246.25","3,173.18","-","-1.62%"
"Jun 20, 2003","3,238.98","3,237.23","3,267.67","3,218.05","-","-0.25%"
"Jun 19, 2003","3,247.11","3,304.24","3,324.44","3,217.46","-","-1.73%"
"Jun 18, 2003","3,304.15","3,280.04","3,316.07","3,263.33","-","0.54%"
"Jun 17, 2003","3,286.48","3,276.16","3,321.50","3,264.10","-","0.67%"
"Jun 16, 2003","3,264.50","3,156.80","3,264.50","3,122.40","-","3.02%"
"Jun 13, 2003","3,168.71","3,220.82","3,246.14","3,157.29","-","-1.58%"
"Jun 12, 2003","3,219.47","3,180.61","3,253.70","3,180.61","-","1.30%"
"Jun 11, 2003","3,178.15","3,145.52","3,191.33","3,133.65","-","1.20%"
"Jun 10, 2003","3,140.34","3,088.61","3,149.44","3,076.77","-","1.47%"
"Jun 09, 2003","3,094.76","3,124.59","3,132.76","3,075.19","-","-1.05%"
"Jun 06, 2003","3,127.46","3,054.99","3,146.91","3,054.99","-","2.89%"
"Jun 05, 2003","3,039.76","3,086.65","3,106.27","3,020.46","-","-1.31%"
"Jun 04, 2003","3,080.02","3,030.29","3,099.82","3,020.16","-","1.76%"
"Jun 03, 2003","3,026.82","3,062.86","3,062.86","3,003.16","-","-1.23%"
"Jun 02, 2003","3,064.56","2,990.93","3,066.04","2,990.93","-","2.75%"
"May 30, 2003","2,982.68","2,907.73","2,997.62","2,906.42","-","2.61%"
"May 29, 2003","2,906.71","2,914.18","2,968.43","2,897.10","-","-0.44%"
"May 28, 2003","2,919.54","2,885.53","2,958.21","2,885.53","-","1.60%"
"May 27, 2003","2,873.60","2,827.66","2,875.14","2,769.45","-","1.60%"
"May 26, 2003","2,828.28","2,821.54","2,855.28","2,812.40","-","0.19%"
"May 23, 2003","2,822.83","2,867.10","2,886.07","2,804.13","-","-1.48%"
"May 22, 2003","2,865.21","2,826.47","2,865.21","2,817.63","-","1.34%"
"May 21, 2003","2,827.25","2,841.33","2,853.04","2,773.77","-","-0.41%"
"May 20, 2003","2,838.93","2,848.19","2,875.40","2,820.41","-","-0.41%"
"May 19, 2003","2,850.68","2,976.38","2,976.38","2,841.02","-","-4.63%"
"May 16, 2003","2,989.08","2,987.45","3,029.49","2,952.18","-","-0.01%"
"May 15, 2003","2,989.38","2,926.79","2,989.38","2,902.52","-","2.17%"
"May 14, 2003","2,926.03","2,906.95","2,960.23","2,888.20","-","0.55%"
"May 13, 2003","2,909.95","2,941.57","2,951.99","2,883.31","-","-0.93%"
"May 12, 2003","2,937.26","2,961.14","2,972.72","2,871.61","-","-0.65%"
"May 09, 2003","2,956.59","2,892.63","2,956.59","2,861.70","-","2.44%"
"May 08, 2003","2,886.08","3,005.12","3,016.57","2,884.51","-","-3.98%"
"May 07, 2003","3,005.64","3,063.41","3,068.08","2,992.79","-","-2.00%"
"May 06, 2003","3,066.95","3,002.40","3,066.95","2,977.62","-","1.79%"
"May 05, 2003","3,013.04","2,991.74","3,039.26","2,978.71","-","0.91%"
"May 02, 2003","2,986.00","2,938.72","2,986.00","2,888.46","-","1.49%"
"Apr 30, 2003","2,942.04","2,914.47","2,967.08","2,914.02","-","1.14%"
"Apr 29, 2003","2,908.96","2,958.12","3,004.79","2,908.96","-","-1.52%"
"Apr 28, 2003","2,953.92","2,834.46","2,953.92","2,821.35","-","4.08%"
"Apr 25, 2003","2,838.23","2,892.46","2,909.14","2,828.84","-","-1.85%"
"Apr 24, 2003","2,891.62","2,967.62","2,969.95","2,881.04","-","-2.78%"
"Apr 23, 2003","2,974.40","2,968.80","3,000.76","2,932.73","-","0.45%"
"Apr 22, 2003","2,960.96","2,898.36","2,965.21","2,843.80","-","2.11%"
"Apr 17, 2003","2,899.78","2,820.35","2,899.98","2,801.17","-","2.66%"
"Apr 16, 2003","2,824.68","2,843.33","2,915.69","2,824.68","-","-0.33%"
"Apr 15, 2003","2,834.12","2,792.06","2,867.64","2,792.06","-","2.06%"
"Apr 14, 2003","2,776.78","2,741.66","2,787.38","2,700.33","-","1.57%"
"Apr 11, 2003","2,733.95","2,700.61","2,797.42","2,700.61","-","1.37%"
"Apr 10, 2003","2,697.10","2,730.97","2,763.65","2,685.80","-","-1.35%"
"Apr 09, 2003","2,734.10","2,756.62","2,824.99","2,696.32","-","-1.22%"
"Apr 08, 2003","2,767.79","2,798.74","2,809.17","2,740.61","-","-1.46%"
"Apr 07, 2003","2,808.94","2,654.76","2,814.39","2,654.44","-","5.84%"
"Apr 04, 2003","2,654.07","2,573.16","2,656.25","2,553.67","-","3.28%"
"Apr 03, 2003","2,569.81","2,582.95","2,644.96","2,557.19","-","-0.75%"
"Apr 02, 2003","2,589.35","2,462.21","2,589.35","2,462.21","-","5.68%"
"Apr 01, 2003","2,450.19","2,426.24","2,473.94","2,395.72","-","1.09%"
"Mar 31, 2003","2,423.87","2,511.99","2,511.99","2,396.60","-","-3.85%"
"Mar 28, 2003","2,520.84","2,580.96","2,581.65","2,498.29","-","-2.45%"
"Mar 27, 2003","2,584.05","2,583.27","2,589.68","2,511.96","-","0.18%"
"Mar 26, 2003","2,579.33","2,634.89","2,680.53","2,579.33","-","-2.15%"
"Mar 25, 2003","2,636.10","2,541.79","2,636.72","2,481.71","-","3.44%"
"Mar 24, 2003","2,548.37","2,712.62","2,712.62","2,548.37","-","-6.14%"
"Mar 21, 2003","2,715.06","2,607.70","2,731.57","2,603.85","-","4.23%"
"Mar 20, 2003","2,604.85","2,607.76","2,657.50","2,551.91","-","-0.40%"
"Mar 19, 2003","2,615.22","2,576.96","2,675.02","2,524.52","-","1.18%"
"Mar 18, 2003","2,584.61","2,490.78","2,624.98","2,490.78","-","3.92%"
"Mar 17, 2003","2,487.12","2,398.11","2,520.54","2,327.87","-","3.49%"
