"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2014","17,776.80","17,827.27","17,827.27","17,726.55","86.39M","-0.29%"
"Nov 28, 2014","17,828.24","17,830.55","17,893.42","17,807.78","80.47M","0.00%"
"Nov 26, 2014","17,827.75","17,812.25","17,833.76","17,791.16","67.45M","0.07%"
"Nov 25, 2014","17,814.94","17,819.05","17,854.73","17,790.89","88.19M","-0.02%"
"Nov 24, 2014","17,817.90","17,812.63","17,855.27","17,793.19","85.51M","0.04%"
"Nov 21, 2014","17,810.06","17,721.02","17,894.83","17,721.02","140.94M","0.51%"
"Nov 20, 2014","17,719.00","17,677.32","17,720.44","17,603.89","77.74M","0.19%"
"Nov 19, 2014","17,685.73","17,685.51","17,712.26","17,624.50","73.78M","-0.01%"
"Nov 18, 2014","17,687.82","17,643.09","17,735.71","17,642.03","87.42M","0.23%"
"Nov 17, 2014","17,647.75","17,631.85","17,675.07","17,606.81","70.33M","0.07%"
"Nov 14, 2014","17,634.74","17,653.11","17,664.15","17,613.20","72.85M","-0.10%"
"Nov 13, 2014","17,652.79","17,618.69","17,705.48","17,583.88","80.54M","0.23%"
"Nov 12, 2014","17,612.20","17,604.75","17,626.71","17,536.17","75.98M","-0.02%"
"Nov 11, 2014","17,614.90","17,615.64","17,638.21","17,584.94","52.88M","0.01%"
"Nov 10, 2014","17,613.74","17,568.98","17,621.87","17,547.51","71.43M","0.23%"
"Nov 07, 2014","17,573.93","17,558.58","17,575.33","17,493.37","82.86M","0.11%"
"Nov 06, 2014","17,554.47","17,491.66","17,560.31","17,440.35","70.67M","0.40%"
"Nov 05, 2014","17,484.53","17,385.76","17,486.59","17,385.76","76.04M","0.58%"
"Nov 04, 2014","17,383.84","17,368.81","17,397.23","17,278.36","81.39M","0.10%"
"Nov 03, 2014","17,366.24","17,390.90","17,410.65","17,339.85","80.03M","-0.14%"
"Oct 31, 2014","17,390.52","17,208.78","17,395.54","17,208.78","121.61M","1.13%"
"Oct 30, 2014","17,195.42","16,968.14","17,223.96","16,920.76","80.18M","1.30%"
"Oct 29, 2014","16,974.31","17,005.07","17,065.50","16,895.38","76.45M","-0.18%"
"Oct 28, 2014","17,005.75","16,825.19","17,006.45","16,825.19","83.87M","1.12%"
"Oct 27, 2014","16,817.94","16,796.10","16,836.98","16,729.83","72.58M","0.07%"
"Oct 24, 2014","16,805.41","16,677.04","16,811.71","16,649.72","90.40M","0.76%"
"Oct 23, 2014","16,677.90","16,468.07","16,767.52","16,468.07","99.42M","1.32%"
"Oct 22, 2014","16,461.32","16,615.26","16,653.89","16,459.85","92.05M","-0.92%"
"Oct 21, 2014","16,614.81","16,406.03","16,620.78","16,405.77","105.11M","1.31%"
"Oct 20, 2014","16,399.67","16,373.15","16,401.63","16,260.54","94.32M","0.12%"
"Oct 17, 2014","16,380.41","16,118.39","16,427.38","16,118.39","137.91M","1.63%"
"Oct 16, 2014","16,117.24","16,137.14","16,211.12","15,935.22","131.67M","-0.15%"
"Oct 15, 2014","16,141.74","16,313.30","16,313.30","15,855.12","160.38M","-1.06%"
"Oct 14, 2014","16,315.19","16,321.90","16,463.67","16,273.64","110.41M","-0.04%"
"Oct 13, 2014","16,321.07","16,535.43","16,602.41","16,310.47","107.83M","-1.35%"
"Oct 10, 2014","16,544.10","16,654.88","16,757.60","16,543.91","136.37M","-0.69%"
"Oct 09, 2014","16,659.25","16,989.37","16,989.37","16,649.04","93.21M","-1.97%"
"Oct 08, 2014","16,994.22","16,718.65","17,006.91","16,663.26","106.93M","1.64%"
"Oct 07, 2014","16,719.39","16,988.25","16,988.25","16,715.79","79.42M","-1.60%"
"Oct 06, 2014","16,991.91","17,010.34","17,099.39","16,930.38","65.54M","-0.10%"
