"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2014","3,232.91","3,228.68","3,240.09","3,213.46","61.39M","-0.55%"
"Nov 28, 2014","3,250.93","3,241.45","3,250.93","3,223.11","54.82M","0.19%"
"Nov 27, 2014","3,244.92","3,228.84","3,248.91","3,222.85","46.31M","0.58%"
"Nov 26, 2014","3,226.08","3,228.05","3,243.89","3,217.33","48.57M","-0.00%"
"Nov 25, 2014","3,226.15","3,210.67","3,248.18","3,207.20","73.91M","0.45%"
"Nov 24, 2014","3,211.70","3,197.53","3,236.24","3,193.38","76.24M","0.55%"
"Nov 21, 2014","3,194.22","3,107.05","3,195.40","3,107.05","105.23M","2.97%"
"Nov 20, 2014","3,102.21","3,120.76","3,120.90","3,075.55","67.29M","-0.67%"
"Nov 19, 2014","3,123.12","3,121.21","3,140.38","3,110.92","56.33M","0.09%"
"Nov 18, 2014","3,120.42","3,087.63","3,124.48","3,085.19","54.61M","1.16%"
"Nov 17, 2014","3,084.79","3,044.81","3,093.88","3,031.26","61.31M","0.81%"
"Nov 14, 2014","3,059.99","3,064.32","3,068.43","3,031.25","56.95M","0.10%"
"Nov 13, 2014","3,056.80","3,059.85","3,078.15","3,026.41","65.36M","0.31%"
"Nov 12, 2014","3,047.30","3,096.24","3,099.65","3,042.76","77.77M","-1.85%"
"Nov 11, 2014","3,104.59","3,096.97","3,118.49","3,090.98","65.08M","0.32%"
"Nov 10, 2014","3,094.60","3,060.98","3,094.69","3,050.38","52.33M","0.97%"
"Nov 07, 2014","3,064.92","3,106.84","3,111.41","3,043.43","68.74M","-1.20%"
"Nov 06, 2014","3,102.07","3,081.64","3,142.60","3,067.60","79.94M","0.34%"
"Nov 05, 2014","3,091.54","3,059.12","3,094.79","3,046.64","62.18M","1.89%"
"Nov 04, 2014","3,034.24","3,077.04","3,098.24","3,028.33","67.34M","-1.56%"
"Nov 03, 2014","3,082.32","3,107.80","3,117.04","3,075.60","56.32M","-1.00%"
"Oct 31, 2014","3,113.32","3,067.58","3,120.19","3,064.63","80.21M","2.55%"
"Oct 30, 2014","3,035.90","3,030.76","3,049.96","2,965.57","80.64M","0.45%"
"Oct 29, 2014","3,022.42","3,044.52","3,052.43","3,017.54","63.74M","-0.45%"
"Oct 28, 2014","3,036.15","3,018.21","3,043.15","3,012.57","55.77M","1.24%"
"Oct 27, 2014","2,998.84","3,052.23","3,062.04","2,976.29","81.46M","-1.04%"
"Oct 24, 2014","3,030.37","3,033.58","3,043.94","3,016.48","61.55M","-0.46%"
"Oct 23, 2014","3,044.30","2,999.63","3,051.49","2,972.11","74.47M","1.19%"
"Oct 22, 2014","3,008.53","2,995.06","3,008.81","2,971.89","70.06M","0.57%"
"Oct 21, 2014","2,991.46","2,918.40","2,991.46","2,906.04","81.33M","2.19%"
"Oct 20, 2014","2,927.30","2,957.24","2,957.24","2,907.46","73.01M","-1.18%"
"Oct 17, 2014","2,962.24","2,880.14","2,966.15","2,872.53","112.90M","3.05%"
"Oct 16, 2014","2,874.65","2,911.14","2,926.82","2,789.63","159.04M","-0.62%"
"Oct 15, 2014","2,892.55","3,001.05","3,005.38","2,888.94","101.78M","-3.61%"
"Oct 14, 2014","3,000.99","2,982.95","3,008.93","2,947.49","71.86M","0.09%"
"Oct 13, 2014","2,998.32","2,970.21","3,017.25","2,963.92","62.29M","0.23%"
"Oct 10, 2014","2,991.50","3,030.52","3,034.87","2,987.00","76.60M","-1.67%"
"Oct 09, 2014","3,042.45","3,071.34","3,090.45","3,028.32","73.46M","-0.36%"
"Oct 08, 2014","3,053.31","3,073.47","3,087.11","3,043.83","63.06M","-0.93%"
"Oct 07, 2014","3,082.10","3,128.89","3,128.89","3,082.10","59.56M","-1.80%"
"Oct 06, 2014","3,138.67","3,149.62","3,169.86","3,133.71","47.56M","0.17%"
"Oct 03, 2014","3,133.37","3,125.27","3,140.13","3,116.73","52.12M","0.87%"
"Oct 02, 2014","3,106.42","3,190.03","3,197.45","3,106.42","91.22M","-2.77%"
"Oct 01, 2014","3,195.08","3,217.81","3,236.58","3,188.86","58.01M","-0.96%"
"Sep 30, 2014","3,225.93","3,199.44","3,236.59","3,191.80","61.58M","1.22%"
"Sep 29, 2014","3,186.95","3,218.39","3,223.07","3,167.46","47.50M","-1.01%"
"Sep 26, 2014","3,219.58","3,205.34","3,231.27","3,188.39","48.24M","0.54%"
"Sep 25, 2014","3,202.31","3,242.07","3,259.23","3,192.75","64.69M","-1.29%"
"Sep 24, 2014","3,244.01","3,209.62","3,245.04","3,192.01","54.32M","1.19%"
"Sep 23, 2014","3,205.93","3,253.00","3,253.00","3,201.84","53.78M","-1.58%"
"Sep 22, 2014","3,257.48","3,262.52","3,274.36","3,252.73","45.03M","-0.48%"
"Sep 19, 2014","3,273.25","3,287.30","3,301.15","3,266.62","92.20M","0.06%"
"Sep 18, 2014","3,271.37","3,239.23","3,273.44","3,236.96","56.02M","1.05%"
"Sep 17, 2014","3,237.44","3,233.43","3,246.01","3,229.45","47.51M","0.49%"
