"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2003","9,911.50","9,883.52","9,936.18","9,854.03","-","-0.72%"
"Jul 10, 2003","9,983.31","10,035.96","10,051.75","9,946.46","-","-0.44%"
"Jul 09, 2003","10,027.41","10,028.23","10,069.71","9,997.67","-","0.35%"
"Jul 08, 2003","9,992.87","10,010.46","10,086.45","9,983.76","-","1.02%"
"Jul 07, 2003","9,892.40","9,683.81","9,905.47","9,637.90","-","2.65%"
"Jul 04, 2003","9,636.81","9,628.39","9,670.42","9,569.85","-","-0.10%"
"Jul 03, 2003","9,646.10","9,689.14","9,705.63","9,593.42","-","0.45%"
"Jul 02, 2003","9,602.62","9,613.57","9,650.39","9,512.20","-","0.27%"
"Jun 30, 2003","9,577.12","9,594.94","9,641.62","9,564.07","-","-0.83%"
"Jun 27, 2003","9,657.21","9,626.86","9,711.22","9,613.64","-","0.53%"
"Jun 26, 2003","9,606.11","9,551.04","9,614.73","9,526.92","-","-0.24%"
"Jun 25, 2003","9,628.99","9,637.20","9,670.49","9,605.99","-","-0.00%"
"Jun 24, 2003","9,629.35","9,686.67","9,686.67","9,571.55","-","-1.08%"
"Jun 23, 2003","9,734.29","9,918.77","9,935.85","9,727.77","-","-1.97%"
"Jun 20, 2003","9,930.31","9,907.08","9,931.58","9,885.53","-","-0.50%"
"Jun 19, 2003","9,980.11","9,981.71","10,015.45","9,935.61","-","0.10%"
"Jun 18, 2003","9,970.30","10,057.75","10,067.86","9,935.63","-","-0.60%"
"Jun 17, 2003","10,030.37","10,026.82","10,041.96","9,975.44","-","1.70%"
"Jun 16, 2003","9,862.28","9,821.39","9,883.19","9,819.88","-","0.07%"
"Jun 13, 2003","9,855.64","9,728.20","9,866.66","9,692.83","-","1.22%"
"Jun 12, 2003","9,736.84","9,734.77","9,754.63","9,684.41","-","0.77%"
"Jun 11, 2003","9,662.06","9,756.50","9,773.54","9,645.25","-","-0.43%"
"Jun 10, 2003","9,703.72","9,642.46","9,714.73","9,625.47","-","-0.31%"
"Jun 09, 2003","9,733.51","9,698.29","9,734.35","9,660.67","-","0.40%"
"Jun 06, 2003","9,694.63","9,662.69","9,752.77","9,610.85","-","0.58%"
"Jun 05, 2003","9,639.01","9,779.18","9,780.85","9,634.93","-","-0.25%"
"Jun 03, 2003","9,662.82","9,633.43","9,683.01","9,563.72","-","0.26%"
"Jun 02, 2003","9,637.53","9,582.01","9,647.36","9,580.09","-","1.58%"
"May 30, 2003","9,487.38","9,482.10","9,557.54","9,461.84","-","-0.22%"
"May 29, 2003","9,508.55","9,520.81","9,587.17","9,483.62","-","-0.02%"
"May 28, 2003","9,510.62","9,558.22","9,560.86","9,483.09","-","0.95%"
"May 27, 2003","9,420.81","9,490.57","9,490.57","9,417.04","-","-0.76%"
"May 26, 2003","9,492.71","9,412.73","9,505.79","9,411.32","-","2.03%"
"May 23, 2003","9,303.73","9,217.21","9,313.98","9,208.74","-","1.89%"
"May 22, 2003","9,131.49","9,045.84","9,148.14","9,025.30","-","0.79%"
"May 21, 2003","9,059.80","9,069.34","9,086.36","9,020.77","-","0.10%"
"May 20, 2003","9,050.40","8,980.27","9,068.98","8,973.66","-","-0.41%"
"May 19, 2003","9,087.37","9,074.34","9,106.94","9,029.80","-","-0.06%"
"May 16, 2003","9,093.18","9,148.10","9,190.73","9,052.25","-","-0.36%"
"May 15, 2003","9,126.07","9,068.30","9,166.55","9,055.72","-","0.25%"
"May 14, 2003","9,103.69","9,135.51","9,217.26","9,069.24","-","-0.17%"
"May 13, 2003","9,119.04","9,165.54","9,175.69","9,101.39","-","-0.40%"
"May 12, 2003","9,155.57","9,164.10","9,209.76","9,150.94","-","0.79%"
"May 09, 2003","9,084.16","8,903.66","9,084.16","8,878.59","-","2.06%"
"May 07, 2003","8,901.05","8,946.34","8,950.34","8,834.69","-","0.13%"
"May 06, 2003","8,889.22","8,906.69","8,949.06","8,863.21","-","-0.31%"
"May 05, 2003","8,916.49","8,895.39","8,925.19","8,875.15","-","1.23%"
"May 02, 2003","8,808.18","8,707.43","8,817.74","8,707.43","-","1.04%"
"Apr 30, 2003","8,717.22","8,758.24","8,777.08","8,700.12","-","-0.31%"
"Apr 29, 2003","8,744.22","8,577.73","8,757.59","8,577.73","-","3.67%"
"Apr 28, 2003","8,435.04","8,354.66","8,453.69","8,354.66","-","0.31%"
"Apr 25, 2003","8,409.01","8,351.59","8,430.62","8,331.87","-","-0.39%"
"Apr 24, 2003","8,442.11","8,482.60","8,490.08","8,403.49","-","-0.91%"
"Apr 23, 2003","8,519.60","8,641.40","8,654.62","8,493.95","-","-0.61%"
"Apr 22, 2003","8,571.91","8,531.11","8,574.79","8,479.38","-","-0.08%"
"Apr 17, 2003","8,579.14","8,600.05","8,603.30","8,558.72","-","-1.11%"
"Apr 16, 2003","8,675.14","8,653.59","8,705.27","8,609.46","-","0.50%"
"Apr 15, 2003","8,632.10","8,600.50","8,639.36","8,549.84","-","1.15%"
"Apr 14, 2003","8,533.55","8,598.08","8,598.08","8,493.46","-","-1.30%"
"Apr 11, 2003","8,645.65","8,627.57","8,660.88","8,552.68","-","0.23%"
"Apr 10, 2003","8,625.72","8,597.86","8,647.75","8,559.77","-","-0.13%"
"Apr 09, 2003","8,636.85","8,755.15","8,755.15","8,588.45","-","-1.93%"
"Apr 08, 2003","8,806.66","8,885.62","8,906.99","8,786.36","-","-1.74%"
"Apr 07, 2003","8,962.21","8,838.83","8,973.81","8,754.51","-","1.58%"
"Apr 04, 2003","8,822.45","8,669.73","8,845.80","8,662.81","-","2.02%"
"Apr 03, 2003","8,648.16","8,769.41","8,774.58","8,639.09","-","-0.67%"
"Apr 02, 2003","8,706.19","8,586.69","8,716.10","8,550.46","-","1.27%"
"Apr 01, 2003","8,596.89","8,608.79","8,612.42","8,465.79","-","-0.44%"
"Mar 31, 2003","8,634.45","8,755.81","8,755.81","8,586.70","-","-2.58%"
"Mar 28, 2003","8,863.36","8,864.12","8,893.57","8,812.32","-","-0.10%"
"Mar 27, 2003","8,872.32","9,027.99","9,027.99","8,850.43","-","-1.93%"
"Mar 26, 2003","9,047.09","9,096.08","9,096.08","9,027.61","-","-0.17%"
"Mar 25, 2003","9,062.15","9,012.04","9,081.39","9,008.62","-","-0.51%"
"Mar 24, 2003","9,108.45","9,214.65","9,262.77","9,087.64","-","-0.77%"
"Mar 21, 2003","9,179.19","9,220.95","9,227.20","9,146.29","-","-0.17%"
"Mar 20, 2003","9,194.56","9,243.90","9,281.60","9,127.59","-","0.39%"
"Mar 19, 2003","9,158.59","8,973.19","9,197.93","8,913.05","-","1.29%"
"Mar 18, 2003","9,041.51","9,003.96","9,045.18","8,976.58","-","2.70%"
