"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2014","2,680.16","2,691.72","2,720.74","2,668.84","44.68B","-0.10%"
"Nov 28, 2014","2,682.83","2,629.63","2,683.18","2,622.06","46.59B","1.99%"
"Nov 27, 2014","2,630.49","2,615.37","2,631.40","2,599.11","36.41B","1.00%"
"Nov 26, 2014","2,604.35","2,572.65","2,605.07","2,570.40","33.71B","1.43%"
"Nov 25, 2014","2,567.60","2,532.00","2,568.38","2,527.08","31.43B","1.37%"
"Nov 24, 2014","2,532.88","2,505.53","2,546.75","2,495.52","36.35B","1.85%"
"Nov 21, 2014","2,486.79","2,452.63","2,488.20","2,446.65","21.22B","1.39%"
"Nov 20, 2014","2,452.66","2,443.28","2,458.32","2,437.48","16.55B","0.07%"
"Nov 19, 2014","2,450.99","2,452.15","2,461.49","2,442.71","18.62B","-0.22%"
"Nov 18, 2014","2,456.37","2,474.18","2,477.05","2,449.81","20.11B","-0.71%"
"Nov 17, 2014","2,474.01","2,506.86","2,508.77","2,472.45","21.57B","-0.19%"
"Nov 14, 2014","2,478.82","2,477.97","2,481.02","2,457.05","22.06B","-0.27%"
"Nov 13, 2014","2,485.61","2,495.00","2,507.74","2,471.41","29.50B","-0.36%"
"Nov 12, 2014","2,494.48","2,454.60","2,494.92","2,444.81","25.29B","1.00%"
"Nov 11, 2014","2,469.67","2,483.65","2,508.62","2,445.96","41.19B","-0.16%"
"Nov 10, 2014","2,473.67","2,436.63","2,474.16","2,428.19","30.06B","2.30%"
"Nov 07, 2014","2,418.17","2,427.90","2,454.42","2,407.44","29.12B","-0.32%"
"Nov 06, 2014","2,425.86","2,419.62","2,426.89","2,401.75","22.20B","0.27%"
"Nov 05, 2014","2,419.25","2,432.17","2,434.36","2,415.50","26.36B","-0.47%"
"Nov 04, 2014","2,430.68","2,428.27","2,435.22","2,417.22","30.90B","0.03%"
"Nov 03, 2014","2,430.03","2,425.22","2,436.79","2,418.17","29.88B","0.41%"
"Oct 31, 2014","2,420.18","2,393.18","2,423.60","2,384.48","32.58B","1.22%"
"Oct 30, 2014","2,391.08","2,371.89","2,397.26","2,365.92","29.46B","0.76%"
"Oct 29, 2014","2,373.03","2,343.72","2,381.64","2,339.71","26.56B","1.50%"
"Oct 28, 2014","2,337.87","2,294.01","2,338.28","2,294.01","17.86B","2.07%"
"Oct 27, 2014","2,290.44","2,293.57","2,293.64","2,279.84","13.03B","-0.51%"
"Oct 24, 2014","2,302.28","2,303.08","2,314.87","2,296.66","13.22B","-0.01%"
"Oct 23, 2014","2,302.42","2,322.32","2,329.93","2,297.33","16.26B","-1.04%"
"Oct 22, 2014","2,326.55","2,339.22","2,352.12","2,324.59","15.27B","-0.56%"
"Oct 21, 2014","2,339.66","2,355.03","2,361.65","2,337.55","16.88B","-0.72%"
"Oct 20, 2014","2,356.73","2,346.05","2,357.51","2,340.46","16.00B","0.66%"
"Oct 17, 2014","2,341.18","2,352.78","2,360.60","2,312.83","21.23B","-0.65%"
"Oct 16, 2014","2,356.50","2,361.13","2,389.67","2,353.41","24.82B","-0.72%"
"Oct 15, 2014","2,373.67","2,358.23","2,374.81","2,344.37","20.28B","0.60%"
"Oct 14, 2014","2,359.47","2,362.80","2,380.52","2,349.19","19.68B","-0.28%"
"Oct 13, 2014","2,366.01","2,366.43","2,366.86","2,341.12","20.09B","-0.36%"
"Oct 10, 2014","2,374.54","2,380.76","2,386.28","2,365.07","22.47B","-0.62%"
"Oct 09, 2014","2,389.37","2,383.86","2,391.35","2,367.11","23.59B","0.28%"
"Oct 08, 2014","2,382.79","2,368.58","2,382.79","2,354.29","20.44B","0.80%"
"Sep 30, 2014","2,363.87","2,361.32","2,365.49","2,354.27","19.39B","0.26%"
"Sep 29, 2014","2,357.71","2,353.71","2,363.06","2,346.58","20.01B","0.43%"
"Sep 26, 2014","2,347.72","2,339.29","2,350.11","2,329.96","17.47B","0.11%"
"Sep 25, 2014","2,345.10","2,352.86","2,365.15","2,336.81","22.57B","0.07%"
"Sep 24, 2014","2,343.57","2,302.23","2,345.75","2,297.88","22.25B","1.47%"
"Sep 23, 2014","2,309.72","2,289.09","2,311.53","2,289.02","15.69B","0.87%"
"Sep 22, 2014","2,289.87","2,323.55","2,323.55","2,284.38","17.58B","-1.70%"
"Sep 19, 2014","2,329.45","2,312.98","2,331.56","2,305.52","17.46B","0.58%"
"Sep 18, 2014","2,315.93","2,303.85","2,319.87","2,297.93","18.91B","0.35%"
"Sep 17, 2014","2,307.89","2,298.98","2,309.05","2,282.79","21.08B","0.49%"
