Province/State,Country/Region,Confirmed,Deaths,Date,Latitude,Longitude
Hubei,Mainland China,19665,549,2020-02-05,,
Guangdong,Mainland China,895,0,2020-02-05,,
Zhejiang,Mainland China,895,0,2020-02-05,,
Henan,Mainland China,764,2,2020-02-05,,
Hunan,Mainland China,661,0,2020-02-05,,
Jiangxi,Mainland China,548,0,2020-02-05,,
Anhui,Mainland China,530,0,2020-02-05,,
Chongqing,Mainland China,389,2,2020-02-05,,
Jiangsu,Mainland China,341,0,2020-02-05,,
Shandong,Mainland China,307,0,2020-02-05,,
Sichuan,Mainland China,301,1,2020-02-05,,
Beijing,Mainland China,253,1,2020-02-05,,
Shanghai,Mainland China,243,1,2020-02-05,,
Fujian,Mainland China,205,0,2020-02-05,,
Heilongjiang,Mainland China,190,2,2020-02-05,,
Shaanxi,Mainland China,165,0,2020-02-05,,
Guangxi,Mainland China,150,0,2020-02-05,,
Hebei,Mainland China,135,1,2020-02-05,,
Yunnan,Mainland China,128,0,2020-02-05,,
Hainan,Mainland China,99,1,2020-02-05,,
Liaoning,Mainland China,89,0,2020-02-05,,
Shanxi,Mainland China,81,0,2020-02-05,,
Tianjin,Mainland China,69,1,2020-02-05,,
Guizhou,Mainland China,64,1,2020-02-05,,
Gansu,Mainland China,62,0,2020-02-05,,
Jilin,Mainland China,54,0,2020-02-05,,
Inner Mongolia,Mainland China,42,0,2020-02-05,,
Ningxia,Mainland China,34,0,2020-02-05,,
Xinjiang,Mainland China,32,0,2020-02-05,,
,Singapore,28,0,2020-02-05,,
,Thailand,25,0,2020-02-05,,
,Japan,22,0,2020-02-05,,
Hong Kong,Hong Kong,21,1,2020-02-05,,
,South Korea,19,0,2020-02-05,,
Qinghai,Mainland China,17,0,2020-02-05,,
,Germany,12,0,2020-02-05,,
,Malaysia,12,0,2020-02-05,,
Taiwan,Taiwan,11,0,2020-02-05,,
Macau,Macau,10,0,2020-02-05,,
,Vietnam,8,0,2020-02-05,,
,France,6,0,2020-02-05,,
,United Arab Emirates,5,0,2020-02-05,,
New South Wales,Australia,4,0,2020-02-05,,
Victoria,Australia,4,0,2020-02-05,,
Queensland,Australia,3,0,2020-02-05,,
,India,3,0,2020-02-05,,
South Australia,Australia,2,0,2020-02-05,,
British Columbia,Canada,2,0,2020-02-05,,
"Toronto, ON",Canada,2,0,2020-02-05,,
,Italy,2,0,2020-02-05,,
,Philippines,2,1,2020-02-05,,
,Russia,2,0,2020-02-05,,
,UK,2,0,2020-02-05,,
"Chicago, IL",US,2,0,2020-02-05,,
"San Benito, CA",US,2,0,2020-02-05,,
"Santa Clara, CA",US,2,0,2020-02-05,,
,Belgium,1,0,2020-02-05,,
,Cambodia,1,0,2020-02-05,,
"London, ON",Canada,1,0,2020-02-05,,
,Finland,1,0,2020-02-05,,
Tibet,Mainland China,1,0,2020-02-05,,
,Nepal,1,0,2020-02-05,,
,Spain,1,0,2020-02-05,,
,Sri Lanka,1,0,2020-02-05,,
,Sweden,1,0,2020-02-05,,
"Boston, MA",US,1,0,2020-02-05,,
"Los Angeles, CA",US,1,0,2020-02-05,,
"Madison, WI",US,1,0,2020-02-05,,
"Orange, CA",US,1,0,2020-02-05,,
"Seattle, WA",US,1,0,2020-02-05,,
"Tempe, AZ",US,1,0,2020-02-05,,
