Date,Price,Daily Change %
2014-08-29,1890.5,0.5
2014-09-01,1881.58,-0.47
2014-09-02,1875.12,-0.34
2014-09-03,1872.65,-0.13
2014-09-04,1863.29,-0.5
2014-09-05,1870.68,0.4
2014-09-08,1873.95,0.17
2014-09-09,1862.67,-0.6
2014-09-10,1863.86,0.06
2014-09-11,1857.6,-0.34
2014-09-12,1856.96,-0.03
2014-09-15,1857.14,0.01
2014-09-16,1850.75,-0.34
2014-09-17,1852.91,0.12
2014-09-18,1856.56,0.2
2014-09-19,1874.36,0.96
2014-09-22,1872.34,-0.11
2014-09-23,1847.35,-1.33
2014-09-24,1858.49,0.6
2014-09-25,1857.75,-0.04
2014-09-26,1861.61,0.21
2014-09-29,1876.73,0.81
2014-09-30,1882.26,0.29
2014-10-02,1879.57,-0.14
2014-10-03,1875.63,-0.21
2014-10-08,1869.72,-0.32
2014-10-09,1854.3,-0.82
2014-10-10,1844.59,-0.52
2014-10-13,1826.45,-0.98
2014-10-14,1800.04,-1.45
2014-10-15,1775.14,-1.38
2014-10-16,1737.25,-2.13
2014-10-17,1728.41,-0.51
2014-10-20,1750.83,1.3
2014-10-21,1756.5,0.32
2014-10-22,1768.1,0.66
2014-10-23,1765.78,-0.13
2014-10-24,1762.57,-0.18
2014-10-27,1749.97,-0.71
2014-10-28,1721.57,-1.62
2014-10-29,1714.05,-0.44
2014-10-30,1707.32,-0.39
2014-10-31,1683.72,-1.38
2014-11-03,1676.95,-0.4
2014-11-04,1647.47,-1.76
2014-11-05,1602.86,-2.71
2014-11-06,1535.81,-4.18
2014-11-07,1480.33,-3.61
2014-11-10,1496.53,1.09
2014-11-11,1535.06,2.57
2014-11-12,1552.79,1.16
2014-11-13,1560.35,0.49
2014-11-14,1584.58,1.55
2014-11-17,1593.38,0.56
2014-11-18,1571.96,-1.34
2014-11-19,1542.61,-1.87
2014-11-20,1510.32,-2.09
2014-11-21,1527.82,1.16
2014-11-24,1528.25,0.03
2014-11-25,1542.02,0.9
2014-11-26,1569.02,1.75
2014-11-27,1586.29,1.1
2014-11-28,1575.87,-0.66
2014-12-01,1548.73,-1.72
