Date,Price,Daily Change %
2003-03-17,1469.27,0.22
2003-03-18,1459.89,-0.64
2003-03-19,1469.96,0.69
2003-03-20,1464.54,-0.37
2003-03-21,1474.66,0.69
2003-03-24,1477.77,0.21
2003-03-25,1462.4,-1.04
2003-03-26,1456.27,-0.42
2003-03-27,1499.35,2.96
2003-03-28,1491.94,-0.49
2003-03-31,1510.58,1.25
2003-04-01,1522.55,0.79
2003-04-02,1521.32,-0.08
2003-04-03,1511.73,-0.63
2003-04-04,1521.13,0.62
2003-04-07,1515.13,-0.39
2003-04-08,1520.55,0.36
2003-04-09,1543.67,1.52
2003-04-10,1551.18,0.49
2003-04-11,1576.86,1.66
2003-04-14,1616.07,2.49
2003-04-15,1631.47,0.95
2003-04-16,1606.24,-1.55
2003-04-17,1613.6,0.46
2003-04-18,1603.08,-0.65
2003-04-21,1571.71,-1.96
2003-04-22,1568.69,-0.19
2003-04-23,1541.96,-1.7
2003-04-24,1503.59,-2.49
2003-04-25,1487.15,-1.09
2003-04-28,1537.69,3.4
2003-04-29,1509.31,-1.85
2003-04-30,1521.44,0.8
2003-05-12,1531.87,0.69
2003-05-13,1485.31,-3.04
2003-05-14,1522.92,2.53
2003-05-15,1555.29,2.13
2003-05-16,1554.45,-0.05
2003-05-19,1555.45,0.06
2003-05-20,1535.52,-1.28
2003-05-21,1533.48,-0.13
2003-05-22,1546.11,0.82
2003-05-23,1560.95,0.96
2003-05-26,1569.51,0.55
2003-05-27,1568.34,-0.07
2003-05-28,1551.81,-1.05
2003-05-29,1568.16,1.05
2003-05-30,1576.26,0.52
2003-06-02,1576.53,0.02
2003-06-03,1562.24,-0.91
2003-06-04,1574.11,0.76
2003-06-05,1556.25,-1.13
2003-06-06,1538.92,-1.11
2003-06-09,1530.21,-0.57
2003-06-10,1538.76,0.56
2003-06-11,1565.84,1.76
2003-06-12,1562.11,-0.24
2003-06-13,1566.77,0.3
2003-06-16,1559.7,-0.45
2003-06-17,1557.17,-0.16
2003-06-18,1553.88,-0.21
2003-06-19,1538.75,-0.97
2003-06-20,1529.47,-0.6
2003-06-23,1511.37,-1.18
2003-06-24,1512.43,0.07
2003-06-25,1502.08,-0.68
2003-06-26,1515.38,0.89
2003-06-27,1497.05,-1.21
2003-06-30,1486.02,-0.74
2003-07-01,1484.7,-0.09
2003-07-02,1499.68,1.01
2003-07-03,1504.44,0.32
2003-07-04,1502.35,-0.14
2003-07-07,1501.48,-0.06
2003-07-08,1512.02,0.7
2003-07-09,1503.31,-0.58
2003-07-10,1531.93,1.9
2003-07-11,1528.85,-0.2
