Province/State,Country/Region,Confirmed,Deaths,Date,Latitude,Longitude
Hubei,Mainland China,62031,2029,2020-02-19,,
Guangdong,Mainland China,1331,5,2020-02-19,,
Henan,Mainland China,1262,19,2020-02-19,,
Zhejiang,Mainland China,1174,0,2020-02-19,,
Hunan,Mainland China,1008,4,2020-02-19,,
Anhui,Mainland China,986,6,2020-02-19,,
Jiangxi,Mainland China,934,1,2020-02-19,,
Jiangsu,Mainland China,631,0,2020-02-19,,
Diamond Princess cruise ship,Others,621,0,2020-02-19,,
Chongqing,Mainland China,560,5,2020-02-19,,
Shandong,Mainland China,544,3,2020-02-19,,
Sichuan,Mainland China,514,3,2020-02-19,,
Heilongjiang,Mainland China,470,12,2020-02-19,,
Beijing,Mainland China,393,4,2020-02-19,,
Shanghai,Mainland China,333,2,2020-02-19,,
Hebei,Mainland China,306,4,2020-02-19,,
Fujian,Mainland China,293,0,2020-02-19,,
Guangxi,Mainland China,244,2,2020-02-19,,
Shaanxi,Mainland China,242,0,2020-02-19,,
Yunnan,Mainland China,172,1,2020-02-19,,
Hainan,Mainland China,168,4,2020-02-19,,
Guizhou,Mainland China,146,2,2020-02-19,,
Shanxi,Mainland China,131,0,2020-02-19,,
Tianjin,Mainland China,130,3,2020-02-19,,
Liaoning,Mainland China,121,1,2020-02-19,,
Gansu,Mainland China,91,2,2020-02-19,,
Jilin,Mainland China,90,1,2020-02-19,,
,Japan,84,1,2020-02-19,,
,Singapore,84,0,2020-02-19,,
Xinjiang,Mainland China,76,1,2020-02-19,,
Inner Mongolia,Mainland China,75,0,2020-02-19,,
Ningxia,Mainland China,71,0,2020-02-19,,
Hong Kong,Hong Kong,63,2,2020-02-19,,
,Thailand,35,0,2020-02-19,,
,South Korea,31,0,2020-02-19,,
Taiwan,Taiwan,23,1,2020-02-19,,
,Malaysia,22,0,2020-02-19,,
Qinghai,Mainland China,18,0,2020-02-19,,
,Germany,16,0,2020-02-19,,
,Vietnam,16,0,2020-02-19,,
,France,12,1,2020-02-19,,
Macau,Macau,10,0,2020-02-19,,
,UK,9,0,2020-02-19,,
,United Arab Emirates,9,0,2020-02-19,,
Queensland,Australia,5,0,2020-02-19,,
British Columbia,Canada,5,0,2020-02-19,,
New South Wales,Australia,4,0,2020-02-19,,
Victoria,Australia,4,0,2020-02-19,,
,India,3,0,2020-02-19,,
,Italy,3,0,2020-02-19,,
,Philippines,3,1,2020-02-19,,
South Australia,Australia,2,0,2020-02-19,,
"Toronto, ON",Canada,2,0,2020-02-19,,
,Iran,2,2,2020-02-19,,
,Russia,2,0,2020-02-19,,
,Spain,2,0,2020-02-19,,
"Chicago, IL",US,2,0,2020-02-19,,
"San Benito, CA",US,2,0,2020-02-19,,
"San Diego County, CA",US,2,0,2020-02-19,,
"Santa Clara, CA",US,2,0,2020-02-19,,
,Belgium,1,0,2020-02-19,,
,Cambodia,1,0,2020-02-19,,
"London, ON",Canada,1,0,2020-02-19,,
,Egypt,1,0,2020-02-19,,
,Finland,1,0,2020-02-19,,
Tibet,Mainland China,1,0,2020-02-19,,
,Nepal,1,0,2020-02-19,,
,Sri Lanka,1,0,2020-02-19,,
,Sweden,1,0,2020-02-19,,
"Boston, MA",US,1,0,2020-02-19,,
"Los Angeles, CA",US,1,0,2020-02-19,,
"Madison, WI",US,1,0,2020-02-19,,
"Orange, CA",US,1,0,2020-02-19,,
"San Antonio, TX",US,1,0,2020-02-19,,
"Seattle, WA",US,1,0,2020-02-19,,
"Tempe, AZ",US,1,0,2020-02-19,,
