Date,Price,Daily Change %
2003-03-17,2487.12,3.49
2003-03-18,2584.61,3.92
2003-03-19,2615.22,1.18
2003-03-20,2604.85,-0.4
2003-03-21,2715.06,4.23
2003-03-24,2548.37,-6.14
2003-03-25,2636.1,3.44
2003-03-26,2579.33,-2.15
2003-03-27,2584.05,0.18
2003-03-28,2520.84,-2.45
2003-03-31,2423.87,-3.85
2003-04-01,2450.19,1.09
2003-04-02,2589.35,5.68
2003-04-03,2569.81,-0.75
2003-04-04,2654.07,3.28
2003-04-07,2808.94,5.84
2003-04-08,2767.79,-1.46
2003-04-09,2734.1,-1.22
2003-04-10,2697.1,-1.35
2003-04-11,2733.95,1.37
2003-04-14,2776.78,1.57
2003-04-15,2834.12,2.06
2003-04-16,2824.68,-0.33
2003-04-17,2899.78,2.66
2003-04-22,2960.96,2.11
2003-04-23,2974.4,0.45
2003-04-24,2891.62,-2.78
2003-04-25,2838.23,-1.85
2003-04-28,2953.92,4.08
2003-04-29,2908.96,-1.52
2003-04-30,2942.04,1.14
2003-05-02,2986.0,1.49
2003-05-05,3013.04,0.91
2003-05-06,3066.95,1.79
2003-05-07,3005.64,-2.0
2003-05-08,2886.08,-3.98
2003-05-09,2956.59,2.44
2003-05-12,2937.26,-0.65
2003-05-13,2909.95,-0.93
2003-05-14,2926.03,0.55
2003-05-15,2989.38,2.17
2003-05-16,2989.08,-0.01
2003-05-19,2850.68,-4.63
2003-05-20,2838.93,-0.41
2003-05-21,2827.25,-0.41
2003-05-22,2865.21,1.34
2003-05-23,2822.83,-1.48
2003-05-26,2828.28,0.19
2003-05-27,2873.6,1.6
2003-05-28,2919.54,1.6
2003-05-29,2906.71,-0.44
2003-05-30,2982.68,2.61
2003-06-02,3064.56,2.75
2003-06-03,3026.82,-1.23
2003-06-04,3080.02,1.76
2003-06-05,3039.76,-1.31
2003-06-06,3127.46,2.89
2003-06-09,3094.76,-1.05
2003-06-10,3140.34,1.47
2003-06-11,3178.15,1.2
2003-06-12,3219.47,1.3
2003-06-13,3168.71,-1.58
2003-06-16,3264.5,3.02
2003-06-17,3286.48,0.67
2003-06-18,3304.15,0.54
2003-06-19,3247.11,-1.73
2003-06-20,3238.98,-0.25
2003-06-23,3186.39,-1.62
2003-06-24,3217.34,0.97
2003-06-25,3198.82,-0.58
2003-06-26,3241.22,1.33
2003-06-27,3224.66,-0.51
2003-06-30,3220.58,-0.13
2003-07-01,3146.55,-2.3
2003-07-02,3241.04,3.0
2003-07-03,3241.92,0.03
2003-07-04,3239.61,-0.07
2003-07-07,3332.87,2.88
2003-07-08,3344.46,0.35
2003-07-09,3322.43,-0.66
2003-07-10,3269.84,-1.58
2003-07-11,3326.51,1.73
