Date,Price,Daily Change %
2014-08-29,17098.45,0.11
2014-09-02,17067.56,-0.18
2014-09-03,17078.28,0.06
2014-09-04,17069.58,-0.05
2014-09-05,17137.36,0.4
2014-09-08,17111.42,-0.15
2014-09-09,17013.87,-0.57
2014-09-10,17068.71,0.32
2014-09-11,17049.0,-0.12
2014-09-12,16987.51,-0.36
2014-09-15,17031.14,0.26
2014-09-16,17131.97,0.59
2014-09-17,17156.85,0.15
2014-09-18,17265.99,0.64
2014-09-19,17279.74,0.08
2014-09-22,17172.68,-0.62
2014-09-23,17055.87,-0.68
2014-09-24,17210.06,0.9
2014-09-25,16945.8,-1.54
2014-09-26,17113.15,0.99
2014-09-29,17071.22,-0.25
2014-09-30,17042.9,-0.17
2014-10-01,16804.71,-1.4
2014-10-02,16801.05,-0.02
2014-10-03,17009.69,1.24
2014-10-06,16991.91,-0.1
2014-10-07,16719.39,-1.6
2014-10-08,16994.22,1.64
2014-10-09,16659.25,-1.97
2014-10-10,16544.1,-0.69
2014-10-13,16321.07,-1.35
2014-10-14,16315.19,-0.04
2014-10-15,16141.74,-1.06
2014-10-16,16117.24,-0.15
2014-10-17,16380.41,1.63
2014-10-20,16399.67,0.12
2014-10-21,16614.81,1.31
2014-10-22,16461.32,-0.92
2014-10-23,16677.9,1.32
2014-10-24,16805.41,0.76
2014-10-27,16817.94,0.07
2014-10-28,17005.75,1.12
2014-10-29,16974.31,-0.18
2014-10-30,17195.42,1.3
2014-10-31,17390.52,1.13
2014-11-03,17366.24,-0.14
2014-11-04,17383.84,0.1
2014-11-05,17484.53,0.58
2014-11-06,17554.47,0.4
2014-11-07,17573.93,0.11
2014-11-10,17613.74,0.23
2014-11-11,17614.9,0.01
2014-11-12,17612.2,-0.02
2014-11-13,17652.79,0.23
2014-11-14,17634.74,-0.1
2014-11-17,17647.75,0.07
2014-11-18,17687.82,0.23
2014-11-19,17685.73,-0.01
2014-11-20,17719.0,0.19
2014-11-21,17810.06,0.51
2014-11-24,17817.9,0.04
2014-11-25,17814.94,-0.02
2014-11-26,17827.75,0.07
2014-11-28,17828.24,0.0
2014-12-01,17776.8,-0.29
