Date,Price,Daily Change %
2020-01-22,29186.27,-0.03
2020-01-23,29160.09,-0.09
2020-01-24,28989.73,-0.58
2020-01-27,28535.8,-1.57
2020-01-28,28722.85,0.66
2020-01-29,28734.45,0.04
2020-01-30,28859.44,0.43
2020-01-31,28256.03,-2.09
2020-02-03,28399.81,0.51
2020-02-04,28807.63,1.44
2020-02-05,29290.85,1.68
2020-02-06,29379.77,0.3
2020-02-07,29102.51,-0.94
2020-02-10,29276.82,0.6
2020-02-11,29276.34,-0.0
2020-02-12,29551.42,0.94
2020-02-13,29423.31,-0.43
2020-02-14,29398.08,-0.09
2020-02-18,29232.19,-0.56
2020-02-19,29348.03,0.4
2020-02-20,29219.98,-0.44
2020-02-21,28992.41,-0.78
2020-02-24,27960.8,-3.56
2020-02-25,27081.36,-3.15
2020-02-26,26957.59,-0.46
2020-02-27,25766.64,-4.42
2020-02-28,25409.36,-1.39
2020-03-02,26703.32,5.09
2020-03-03,25917.41,-2.94
2020-03-04,27090.86,4.53
2020-03-05,26121.28,-3.58
2020-03-06,25864.78,-0.98
2020-03-09,23851.02,-7.79
2020-03-10,25018.16,4.89
2020-03-11,23553.22,-5.86
2020-03-12,21200.62,-9.99
2020-03-13,23185.62,9.36
2020-03-16,20188.52,-12.93
2020-03-17,21237.38,5.2
2020-03-18,19898.92,-6.3
2020-03-19,20087.19,0.95
2020-03-20,19173.98,-4.55
2020-03-23,18591.93,-3.04
2020-03-24,20704.91,11.37
2020-03-25,21200.55,2.39
2020-03-26,22552.17,6.38
2020-03-27,21636.78,-4.06
2020-03-30,22327.48,3.19
2020-03-31,21917.16,-1.84
2020-04-01,20943.51,-4.44
2020-04-02,21413.44,2.24
2020-04-03,21052.53,-1.69
2020-04-06,22679.99,7.73
2020-04-07,22653.86,-0.12
2020-04-08,23433.57,3.44
2020-04-09,23719.37,1.22
2020-04-13,23390.77,-1.39
2020-04-14,23949.76,2.39
2020-04-15,23504.35,-1.86
2020-04-16,23537.68,0.14
2020-04-17,24242.49,2.99
2020-04-20,23650.44,-2.44
2020-04-21,23018.88,-2.67
2020-04-22,23475.82,1.99
2020-04-23,23515.26,0.17
2020-04-24,23775.27,1.11
2020-04-27,24133.78,1.51
2020-04-28,24101.55,-0.13
2020-04-29,24633.86,2.21
2020-04-30,24345.72,-1.17
2020-05-01,23723.69,-2.55
2020-05-04,23749.76,0.11
2020-05-05,23883.09,0.56
2020-05-06,23664.64,-0.91
