Date,Price,Daily Change %
2014-08-29,3172.63,0.26
2014-09-01,3175.05,0.08
2014-09-02,3180.29,0.17
2014-09-03,3218.84,1.21
2014-09-04,3277.25,1.81
2014-09-05,3275.25,-0.06
2014-09-08,3267.54,-0.24
2014-09-09,3245.43,-0.68
2014-09-10,3244.16,-0.04
2014-09-11,3237.76,-0.2
2014-09-12,3235.07,-0.08
2014-09-15,3231.7,-0.1
2014-09-16,3221.73,-0.31
2014-09-17,3237.44,0.49
2014-09-18,3271.37,1.05
2014-09-19,3273.25,0.06
2014-09-22,3257.48,-0.48
2014-09-23,3205.93,-1.58
2014-09-24,3244.01,1.19
2014-09-25,3202.31,-1.29
2014-09-26,3219.58,0.54
2014-09-29,3186.95,-1.01
2014-09-30,3225.93,1.22
2014-10-01,3195.08,-0.96
2014-10-02,3106.42,-2.77
2014-10-03,3133.37,0.87
2014-10-06,3138.67,0.17
2014-10-07,3082.1,-1.8
2014-10-08,3053.31,-0.93
2014-10-09,3042.45,-0.36
2014-10-10,2991.5,-1.67
2014-10-13,2998.32,0.23
2014-10-14,3000.99,0.09
2014-10-15,2892.55,-3.61
2014-10-16,2874.65,-0.62
2014-10-17,2962.24,3.05
2014-10-20,2927.3,-1.18
2014-10-21,2991.46,2.19
2014-10-22,3008.53,0.57
2014-10-23,3044.3,1.19
2014-10-24,3030.37,-0.46
2014-10-27,2998.84,-1.04
2014-10-28,3036.15,1.24
2014-10-29,3022.42,-0.45
2014-10-30,3035.9,0.45
2014-10-31,3113.32,2.55
2014-11-03,3082.32,-1.0
2014-11-04,3034.24,-1.56
2014-11-05,3091.54,1.89
2014-11-06,3102.07,0.34
2014-11-07,3064.92,-1.2
2014-11-10,3094.6,0.97
2014-11-11,3104.59,0.32
2014-11-12,3047.3,-1.85
2014-11-13,3056.8,0.31
2014-11-14,3059.99,0.1
2014-11-17,3084.79,0.81
2014-11-18,3120.42,1.16
2014-11-19,3123.12,0.09
2014-11-20,3102.21,-0.67
2014-11-21,3194.22,2.97
2014-11-24,3211.7,0.55
2014-11-25,3226.15,0.45
2014-11-26,3226.08,-0.0
2014-11-27,3244.92,0.58
2014-11-28,3250.93,0.19
2014-12-01,3232.91,-0.55
