Date,Price,Daily Change %
2003-03-17,8804.16,-1.7
2003-03-18,9041.51,2.7
2003-03-19,9158.59,1.29
2003-03-20,9194.56,0.39
2003-03-21,9179.19,-0.17
2003-03-24,9108.45,-0.77
2003-03-25,9062.15,-0.51
2003-03-26,9047.09,-0.17
2003-03-27,8872.32,-1.93
2003-03-28,8863.36,-0.1
2003-03-31,8634.45,-2.58
2003-04-01,8596.89,-0.44
2003-04-02,8706.19,1.27
2003-04-03,8648.16,-0.67
2003-04-04,8822.45,2.02
2003-04-07,8962.21,1.58
2003-04-08,8806.66,-1.74
2003-04-09,8636.85,-1.93
2003-04-10,8625.72,-0.13
2003-04-11,8645.65,0.23
2003-04-14,8533.55,-1.3
2003-04-15,8632.1,1.15
2003-04-16,8675.14,0.5
2003-04-17,8579.14,-1.11
2003-04-22,8571.91,-0.08
2003-04-23,8519.6,-0.61
2003-04-24,8442.11,-0.91
2003-04-25,8409.01,-0.39
2003-04-28,8435.04,0.31
2003-04-29,8744.22,3.67
2003-04-30,8717.22,-0.31
2003-05-02,8808.18,1.04
2003-05-05,8916.49,1.23
2003-05-06,8889.22,-0.31
2003-05-07,8901.05,0.13
2003-05-09,9084.16,2.06
2003-05-12,9155.57,0.79
2003-05-13,9119.04,-0.4
2003-05-14,9103.69,-0.17
2003-05-15,9126.07,0.25
2003-05-16,9093.18,-0.36
2003-05-19,9087.37,-0.06
2003-05-20,9050.4,-0.41
2003-05-21,9059.8,0.1
2003-05-22,9131.49,0.79
2003-05-23,9303.73,1.89
2003-05-26,9492.71,2.03
2003-05-27,9420.81,-0.76
2003-05-28,9510.62,0.95
2003-05-29,9508.55,-0.02
2003-05-30,9487.38,-0.22
2003-06-02,9637.53,1.58
2003-06-03,9662.82,0.26
2003-06-05,9639.01,-0.25
2003-06-06,9694.63,0.58
2003-06-09,9733.51,0.4
2003-06-10,9703.72,-0.31
2003-06-11,9662.06,-0.43
2003-06-12,9736.84,0.77
2003-06-13,9855.64,1.22
2003-06-16,9862.28,0.07
2003-06-17,10030.37,1.7
2003-06-18,9970.3,-0.6
2003-06-19,9980.11,0.1
2003-06-20,9930.31,-0.5
2003-06-23,9734.29,-1.97
2003-06-24,9629.35,-1.08
2003-06-25,9628.99,-0.0
2003-06-26,9606.11,-0.24
2003-06-27,9657.21,0.53
2003-06-30,9577.12,-0.83
2003-07-02,9602.62,0.27
2003-07-03,9646.1,0.45
2003-07-04,9636.81,-0.1
2003-07-07,9892.4,2.65
2003-07-08,9992.87,1.02
2003-07-09,10027.41,0.35
2003-07-10,9983.31,-0.44
2003-07-11,9911.5,-0.72
