Date,Price,Daily Change %
2020-01-22,3060.75,0.28
2020-01-23,2976.53,-2.75
2020-02-03,2746.61,-7.72
2020-02-04,2783.29,1.34
2020-02-05,2818.09,1.25
2020-02-06,2866.51,1.72
2020-02-07,2875.96,0.33
2020-02-10,2890.49,0.51
2020-02-11,2901.67,0.39
2020-02-12,2926.9,0.87
2020-02-13,2906.07,-0.71
2020-02-14,2917.01,0.38
2020-02-17,2983.62,2.28
2020-02-18,2984.97,0.05
2020-02-19,2975.4,-0.32
2020-02-20,3030.15,1.84
2020-02-21,3039.67,0.31
2020-02-24,3031.23,-0.28
2020-02-25,3013.05,-0.6
2020-02-26,2987.93,-0.83
2020-02-27,2991.33,0.11
2020-02-28,2880.3,-3.71
2020-03-02,2970.93,3.15
2020-03-03,2992.9,0.74
2020-03-04,3011.67,0.63
2020-03-05,3071.68,1.99
2020-03-06,3034.51,-1.21
2020-03-09,2943.29,-3.01
2020-03-10,2996.76,1.82
2020-03-11,2968.52,-0.94
2020-03-12,2923.49,-1.52
2020-03-13,2887.43,-1.23
2020-03-16,2789.25,-3.4
2020-03-17,2779.64,-0.34
2020-03-18,2728.76,-1.83
2020-03-19,2702.13,-0.98
2020-03-20,2745.62,1.61
2020-03-23,2660.17,-3.11
2020-03-24,2722.44,2.34
2020-03-25,2781.59,2.17
2020-03-26,2764.91,-0.6
2020-03-27,2772.2,0.26
2020-03-30,2747.21,-0.9
2020-03-31,2750.3,0.11
2020-04-01,2734.52,-0.57
2020-04-02,2780.64,1.69
2020-04-03,2763.99,-0.6
2020-04-07,2820.76,2.05
2020-04-08,2815.37,-0.19
2020-04-09,2825.9,0.37
2020-04-10,2796.63,-1.04
2020-04-13,2783.05,-0.49
2020-04-14,2827.28,1.59
2020-04-15,2811.17,-0.57
2020-04-16,2819.94,0.31
2020-04-17,2838.49,0.66
2020-04-20,2852.55,0.5
2020-04-21,2827.01,-0.9
2020-04-22,2843.98,0.6
2020-04-23,2838.5,-0.19
2020-04-24,2808.53,-1.06
2020-04-27,2815.49,0.25
2020-04-28,2810.02,-0.19
2020-04-29,2822.44,0.44
2020-04-30,2860.08,1.33
2020-05-06,2878.14,0.63
