Date,Brent_Spot_Price,Cases,Deaths,Virus
2003-03-21,28.18,350.0,10.0,SARS
2003-03-28,26.95,1485.0,53.0,SARS
2003-04-04,26.93,2353.0,84.0,SARS
2003-04-11,24.96,2890.0,116.0,SARS
2003-04-18,24.92,3547.0,182.0,SARS
2003-04-25,24.66,4649.0,274.0,SARS
2003-05-02,23.55,6054.0,417.0,SARS
2003-05-09,24.31,7183.0,514.0,SARS
2003-05-16,26.21,7739.0,611.0,SARS
2003-05-23,27.19,8117.0,689.0,SARS
2003-05-30,26.56,8317.0,754.0,SARS
2003-06-06,27.92,8404.0,779.0,SARS
2003-06-13,28.38,8454.0,792.0,SARS
2003-06-20,26.88,8461.0,804.0,SARS
2003-06-27,27.19,8450.0,810.0,SARS
2003-07-04,28.4,8439.0,812.0,SARS
2003-07-11,28.42,8437.0,813.0,SARS
2015-04-24,61.41,7.0,0.0,MERS
2015-05-22,64.31,92.0,0.0,MERS
2015-06-19,60.65,4.0,0.0,MERS
2015-07-17,57.17,14.0,0.0,MERS
2020-01-24,62.2,941.0,26.0,COVID-19
2020-01-31,58.57,9925.0,213.0,COVID-19
2020-02-07,54.59,34392.0,719.0,COVID-19
2020-02-14,55.33,66887.0,1523.0,COVID-19
2020-02-21,58.61,76843.0,2251.0,COVID-19
2020-02-28,54.09,84124.0,2872.0,COVID-19
2020-03-06,50.7,101800.0,3460.0,COVID-19
2020-03-13,33.72,145193.0,5404.0,COVID-19
2020-03-20,25.65,272167.0,11299.0,COVID-19
2020-03-27,23.96,593291.0,27198.0,COVID-19
2020-04-03,18.72,1095917.0,58787.0,COVID-19
2020-04-10,22.53,1691719.0,102525.0,COVID-19
2020-04-17,20.0,2240191.0,153822.0,COVID-19
2020-04-24,14.24,2810715.0,197151.0,COVID-19
2020-05-01,17.05,3343777.0,238650.0,COVID-19
2014-08-29,100.64,1754.0,898.0,Ebola
2014-09-05,100.45,2383.0,1243.0,Ebola
2014-09-12,97.32,2639.0,1386.0,Ebola
2014-09-26,95.01,3626.0,1837.0,Ebola
2014-10-03,93.41,4108.0,2078.0,Ebola
2014-10-10,90.19,4655.0,2430.0,Ebola
2014-10-17,85.5,4218.0,1611.0,Ebola
2014-10-31,85.56,7728.0,9.0,Ebola
2014-11-07,83.04,8168.0,1780.0,Ebola
2014-11-14,79.9,8920.0,1944.0,Ebola
2014-11-21,77.62,9596.0,2069.0,Ebola
2014-12-26,58.69,12619.0,3682.0,Ebola
2015-01-02,56.03,13054.0,3932.0,Ebola
2015-01-09,49.47,13383.0,4126.0,Ebola
2015-01-16,46.58,13510.0,4266.0,Ebola
2015-01-23,46.44,13635.0,4362.0,Ebola
2015-01-30,46.76,13735.0,4439.0,Ebola
2015-02-06,54.62,13888.0,4551.0,Ebola
2015-02-13,56.57,14028.0,8522.0,Ebola
2015-02-20,60.57,14142.0,4753.0,Ebola
2015-02-27,60.63,14296.0,4853.0,Ebola
2015-03-06,60.12,14412.0,4973.0,Ebola
2015-03-13,56.51,14563.0,5102.0,Ebola
2015-03-20,52.72,14679.0,5200.0,Ebola
2015-03-27,55.01,14758.0,5293.0,Ebola
2015-04-17,59.12,14879.0,5444.0,Ebola
2015-04-24,61.41,14913.0,5478.0,Ebola
2015-05-01,63.49,14935.0,5511.0,Ebola
2015-05-08,65.01,14951.0,5518.0,Ebola
2015-05-15,64.9,14972.0,5528.0,Ebola
2015-05-22,64.31,14998.0,5542.0,Ebola
2015-05-29,61.57,15015.0,5559.0,Ebola
2015-06-05,61.9,15037.0,5566.0,Ebola
2015-06-12,63.24,15075.0,5580.0,Ebola
2015-06-19,60.65,15086.0,5595.0,Ebola
2015-06-26,60.84,15113.0,5610.0,Ebola
2015-07-03,60.36,15138.0,5620.0,Ebola
2015-07-10,56.63,15159.0,5639.0,Ebola
2015-07-17,57.17,15189.0,5650.0,Ebola
2015-07-24,55.75,15209.0,5659.0,Ebola
2015-07-31,54.14,15211.0,5664.0,Ebola
2015-08-07,48.59,15216.0,5667.0,Ebola
2015-08-14,47.94,15218.0,5668.0,Ebola
2015-08-21,46.0,15222.0,5670.0,Ebola
2015-08-28,43.53,15224.0,5672.0,Ebola
2015-09-04,48.87,15227.0,5674.0,Ebola
2015-09-11,47.6,15232.0,5675.0,Ebola
2015-09-18,47.34,15234.0,5678.0,Ebola
2015-09-25,47.33,15235.0,5679.0,Ebola
2015-10-02,46.99,15239.0,5679.0,Ebola
2015-10-09,51.33,15239.0,5680.0,Ebola
2015-10-16,48.99,15241.0,5681.0,Ebola
2015-10-23,46.81,15242.0,5681.0,Ebola
2015-10-30,47.15,15245.0,5682.0,Ebola
2015-11-06,47.23,15246.0,5682.0,Ebola
2015-11-20,41.54,15246.0,5682.0,Ebola
2015-12-11,38.76,15249.0,5683.0,Ebola
